algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Power+costs,0.165406,100,random-permutations,1,200,635
Power+costs,0.145377,100,random-permutations,2,200,641
Power+costs,0.102425,100,random-permutations,3,200,636
Power+costs,0.062558,100,random-permutations,4,200,638
Power+costs,0.068583,100,random-permutations,5,200,627
Power+costs,0.055898,100,random-permutations,6,200,634
Power+costs,0.070277,100,random-permutations,7,200,634
Power+costs,0.050984,100,random-permutations,8,200,638
Power+costs,0.104897,100,random-permutations,9,200,628
Power+costs,0.053735,100,random-permutations,10,200,636
Power+costs,0.05213,100,random-permutations,11,200,634
Power+costs,0.050036,100,random-permutations,12,200,646
Power+costs,0.090673,100,random-permutations,13,200,634
Power+costs,0.050821,100,random-permutations,14,200,635
Power+costs,0.054498,100,random-permutations,15,200,640
Power+costs,0.052912,100,random-permutations,16,200,638
Power+costs,0.058367,100,random-permutations,17,200,646
Power+costs,0.034116,100,random-permutations,18,200,634
Power+costs,0.060049,100,random-permutations,19,200,643
Power+costs,0.04538,100,random-permutations,20,200,637
Power+costs,0.041526,100,random-permutations,21,200,643
Power+costs,0.045667,100,random-permutations,22,200,641
Power+costs,0.027602,100,random-permutations,23,200,630
Power+costs,0.026377,100,random-permutations,24,200,629
Power+costs,0.027223,100,random-permutations,25,200,639
Power+costs,0.025567,100,random-permutations,26,200,636
Power+costs,0.027155,100,random-permutations,27,200,641
Power+costs,0.029675,100,random-permutations,28,200,636
Power+costs,0.027597,100,random-permutations,29,200,634
Power+costs,0.027418,100,random-permutations,30,200,630
Power+costs,0.025898,100,random-permutations,31,200,642
Power+costs,0.038435,100,random-permutations,32,200,640
Power+costs,0.051817,100,random-permutations,33,200,633
Power+costs,0.027036,100,random-permutations,34,200,634
Power+costs,0.02675,100,random-permutations,35,200,639
Power+costs,0.026365,100,random-permutations,36,200,629
Power+costs,0.02639,100,random-permutations,37,200,645
Power+costs,0.053426,100,random-permutations,38,200,642
Power+costs,0.028366,100,random-permutations,39,200,639
Power+costs,0.027769,100,random-permutations,40,200,636
Power+costs,0.028806,100,random-permutations,41,200,637
Power+costs,0.027215,100,random-permutations,42,200,638
Power+costs,0.026152,100,random-permutations,43,200,634
Power+costs,0.027367,100,random-permutations,44,200,631
Power+costs,0.029741,100,random-permutations,45,200,630
Power+costs,0.04509,100,random-permutations,46,200,641
Power+costs,0.025695,100,random-permutations,47,200,641
Power+costs,0.026009,100,random-permutations,48,200,640
Power+costs,0.023653,100,random-permutations,49,200,637
Power+costs,0.025939,100,random-permutations,50,200,643
Power+costs,0.027431,100,random-permutations,51,200,637
Power+costs,0.025379,100,random-permutations,52,200,636
Power+costs,0.024543,100,random-permutations,53,200,638
Power+costs,0.026245,100,random-permutations,54,200,634
Power+costs,0.026279,100,random-permutations,55,200,637
Power+costs,0.038794,100,random-permutations,56,200,638
Power+costs,0.026425,100,random-permutations,57,200,635
Power+costs,0.024941,100,random-permutations,58,200,648
Power+costs,0.0249,100,random-permutations,59,200,642
