algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+Drag,0.131311,100,timsort-drag-minRunLen-128,1,200,627
Powersort+Drag,0.165337,100,timsort-drag-minRunLen-128,2,200,632
Powersort+Drag,0.096664,100,timsort-drag-minRunLen-128,3,200,638
Powersort+Drag,0.118135,100,timsort-drag-minRunLen-128,4,200,635
Powersort+Drag,0.05006,100,timsort-drag-minRunLen-128,5,200,642
Powersort+Drag,0.049286,100,timsort-drag-minRunLen-128,6,200,636
Powersort+Drag,0.051041,100,timsort-drag-minRunLen-128,7,200,639
Powersort+Drag,0.074309,100,timsort-drag-minRunLen-128,8,200,637
Powersort+Drag,0.050158,100,timsort-drag-minRunLen-128,9,200,641
Powersort+Drag,0.047675,100,timsort-drag-minRunLen-128,10,200,632
Powersort+Drag,0.062989,100,timsort-drag-minRunLen-128,11,200,642
Powersort+Drag,0.050041,100,timsort-drag-minRunLen-128,12,200,632
Powersort+Drag,0.049597,100,timsort-drag-minRunLen-128,13,200,635
Powersort+Drag,0.049423,100,timsort-drag-minRunLen-128,14,200,632
Powersort+Drag,0.055818,100,timsort-drag-minRunLen-128,15,200,637
Powersort+Drag,0.050185,100,timsort-drag-minRunLen-128,16,200,631
Powersort+Drag,0.068917,100,timsort-drag-minRunLen-128,17,200,638
Powersort+Drag,0.085327,100,timsort-drag-minRunLen-128,18,200,640
Powersort+Drag,0.090012,100,timsort-drag-minRunLen-128,19,200,638
Powersort+Drag,0.078498,100,timsort-drag-minRunLen-128,20,200,635
Powersort+Drag,0.085398,100,timsort-drag-minRunLen-128,21,200,638
Powersort+Drag,0.085917,100,timsort-drag-minRunLen-128,22,200,634
Powersort+Drag,0.081692,100,timsort-drag-minRunLen-128,23,200,641
Powersort+Drag,0.052863,100,timsort-drag-minRunLen-128,24,200,632
Powersort+Drag,0.083392,100,timsort-drag-minRunLen-128,25,200,630
Powersort+Drag,0.090975,100,timsort-drag-minRunLen-128,26,200,631
Powersort+Drag,0.090071,100,timsort-drag-minRunLen-128,27,200,638
Powersort+Drag,0.054706,100,timsort-drag-minRunLen-128,28,200,635
Powersort+Drag,0.053634,100,timsort-drag-minRunLen-128,29,200,641
Powersort+Drag,0.049519,100,timsort-drag-minRunLen-128,30,200,632
Powersort+Drag,0.072566,100,timsort-drag-minRunLen-128,31,200,627
Powersort+Drag,0.077238,100,timsort-drag-minRunLen-128,32,200,628
Powersort+Drag,0.09669,100,timsort-drag-minRunLen-128,33,200,639
Powersort+Drag,0.061904,100,timsort-drag-minRunLen-128,34,200,639
Powersort+Drag,0.049442,100,timsort-drag-minRunLen-128,35,200,632
Powersort+Drag,0.052022,100,timsort-drag-minRunLen-128,36,200,638
Powersort+Drag,0.07383,100,timsort-drag-minRunLen-128,37,200,632
Powersort+Drag,0.057398,100,timsort-drag-minRunLen-128,38,200,643
Powersort+Drag,0.072493,100,timsort-drag-minRunLen-128,39,200,645
Powersort+Drag,0.094591,100,timsort-drag-minRunLen-128,40,200,632
Powersort+Drag,0.092229,100,timsort-drag-minRunLen-128,41,200,636
Powersort+Drag,0.098787,100,timsort-drag-minRunLen-128,42,200,637
Powersort+Drag,0.08829,100,timsort-drag-minRunLen-128,43,200,644
Powersort+Drag,0.08668,100,timsort-drag-minRunLen-128,44,200,651
Powersort+Drag,0.084862,100,timsort-drag-minRunLen-128,45,200,634
Powersort+Drag,0.050595,100,timsort-drag-minRunLen-128,46,200,639
Powersort+Drag,0.049553,100,timsort-drag-minRunLen-128,47,200,638
Powersort+Drag,0.052109,100,timsort-drag-minRunLen-128,48,200,637
Powersort+Drag,0.047403,100,timsort-drag-minRunLen-128,49,200,634
Powersort+Drag,0.052561,100,timsort-drag-minRunLen-128,50,200,639
Powersort+Drag,0.048281,100,timsort-drag-minRunLen-128,51,200,636
Powersort+Drag,0.089024,100,timsort-drag-minRunLen-128,52,200,645
Powersort+Drag,0.09018,100,timsort-drag-minRunLen-128,53,200,628
Powersort+Drag,0.087543,100,timsort-drag-minRunLen-128,54,200,638
Powersort+Drag,0.090842,100,timsort-drag-minRunLen-128,55,200,631
Powersort+Drag,0.105533,100,timsort-drag-minRunLen-128,56,200,640
Powersort+Drag,0.079876,100,timsort-drag-minRunLen-128,57,200,632
Powersort+Drag,0.081886,100,timsort-drag-minRunLen-128,58,200,636
Powersort+Drag,0.084404,100,timsort-drag-minRunLen-128,59,200,640
Powersort+Drag,0.086805,100,timsort-drag-minRunLen-128,60,200,634
Powersort+Drag,0.050701,100,timsort-drag-minRunLen-128,61,200,642
Powersort+Drag,0.050848,100,timsort-drag-minRunLen-128,62,200,633
Powersort+Drag,0.050777,100,timsort-drag-minRunLen-128,63,200,639
Powersort+Drag,0.048502,100,timsort-drag-minRunLen-128,64,200,636
Powersort+Drag,0.050816,100,timsort-drag-minRunLen-128,65,200,640
Powersort+Drag,0.049672,100,timsort-drag-minRunLen-128,66,200,647
Powersort+Drag,0.048492,100,timsort-drag-minRunLen-128,67,200,634
Powersort+Drag,0.050253,100,timsort-drag-minRunLen-128,68,200,636
Powersort+Drag,0.048559,100,timsort-drag-minRunLen-128,69,200,641
Powersort+Drag,0.051125,100,timsort-drag-minRunLen-128,70,200,636
Powersort+Drag,0.049977,100,timsort-drag-minRunLen-128,71,200,641
Powersort+Drag,0.051501,100,timsort-drag-minRunLen-128,72,200,639
Powersort+Drag,0.048023,100,timsort-drag-minRunLen-128,73,200,634
Powersort+Drag,0.047497,100,timsort-drag-minRunLen-128,74,200,627
Powersort+Drag,0.050304,100,timsort-drag-minRunLen-128,75,200,638
Powersort+Drag,0.048831,100,timsort-drag-minRunLen-128,76,200,641
Powersort+Drag,0.051861,100,timsort-drag-minRunLen-128,77,200,637
Powersort+Drag,0.04686,100,timsort-drag-minRunLen-128,78,200,633
Powersort+Drag,0.050234,100,timsort-drag-minRunLen-128,79,200,636
Powersort+Drag,0.048306,100,timsort-drag-minRunLen-128,80,200,639
Powersort+Drag,0.083182,100,timsort-drag-minRunLen-128,81,200,639
Powersort+Drag,0.082281,100,timsort-drag-minRunLen-128,82,200,640
Powersort+Drag,0.081485,100,timsort-drag-minRunLen-128,83,200,638
Powersort+Drag,0.084593,100,timsort-drag-minRunLen-128,84,200,639
