algorithm,ms,n,input,input-num
Powersort+MinMerge=64,383.841493,1000000,random-permutations,1
Powersort+MinMerge=64,388.539577,1000000,random-permutations,2
Powersort+MinMerge=64,389.187108,1000000,random-permutations,3
Powersort+MinMerge=64,388.558973,1000000,random-permutations,4
Powersort+MinMerge=64,402.606226,1000000,random-permutations,5
Powersort+MinMerge=64,441.091905,1000000,random-permutations,6
Powersort+MinMerge=64,381.77738,1000000,random-permutations,7
Powersort+MinMerge=64,385.152669,1000000,random-permutations,8
Powersort+MinMerge=64,390.63947,1000000,random-permutations,9
Powersort+MinMerge=64,382.707069,1000000,random-permutations,10
Powersort+MinMerge=64,386.994616,1000000,random-permutations,11
Powersort+MinMerge=64,388.728095,1000000,random-permutations,12
Powersort+MinMerge=64,382.004739,1000000,random-permutations,13
Powersort+MinMerge=64,384.507567,1000000,random-permutations,14
Powersort+MinMerge=64,384.009017,1000000,random-permutations,15
Powersort+MinMerge=64,389.186221,1000000,random-permutations,16
Powersort+MinMerge=64,385.273858,1000000,random-permutations,17
Powersort+MinMerge=64,389.004964,1000000,random-permutations,18
Powersort+MinMerge=64,404.913799,1000000,random-permutations,19
Powersort+MinMerge=64,383.595167,1000000,random-permutations,20
Powersort+MinMerge=64,383.710821,1000000,random-permutations,21
Powersort+MinMerge=64,383.222973,1000000,random-permutations,22
Powersort+MinMerge=64,384.150882,1000000,random-permutations,23
Powersort+MinMerge=64,391.395241,1000000,random-permutations,24
Powersort+MinMerge=64,392.388966,1000000,random-permutations,25
Powersort+MinMerge=64,387.420639,1000000,random-permutations,26
Powersort+MinMerge=64,389.678509,1000000,random-permutations,27
Powersort+MinMerge=64,389.810495,1000000,random-permutations,28
Powersort+MinMerge=64,436.410194,1000000,random-permutations,29
Powersort+MinMerge=64,385.580498,1000000,random-permutations,30
Powersort+MinMerge=64,391.236989,1000000,random-permutations,31
Powersort+MinMerge=64,430.953508,1000000,random-permutations,32
Powersort+MinMerge=64,388.779713,1000000,random-permutations,33
Powersort+MinMerge=64,380.021376,1000000,random-permutations,34
Powersort+MinMerge=64,402.338854,1000000,random-permutations,35
Powersort+MinMerge=64,380.536083,1000000,random-permutations,36
Powersort+MinMerge=64,380.090881,1000000,random-permutations,37
Powersort+MinMerge=64,383.050936,1000000,random-permutations,38
Powersort+MinMerge=64,376.883774,1000000,random-permutations,39
Powersort+MinMerge=64,379.727852,1000000,random-permutations,40
Powersort+MinMerge=64,381.677967,1000000,random-permutations,41
Powersort+MinMerge=64,383.792984,1000000,random-permutations,42
Powersort+MinMerge=64,380.653813,1000000,random-permutations,43
Powersort+MinMerge=64,388.625128,1000000,random-permutations,44
Powersort+MinMerge=64,380.862324,1000000,random-permutations,45
Powersort+MinMerge=64,409.416723,1000000,random-permutations,46
Powersort+MinMerge=64,410.836702,1000000,random-permutations,47
Powersort+MinMerge=64,380.044081,1000000,random-permutations,48
Powersort+MinMerge=64,382.313564,1000000,random-permutations,49
Powersort+MinMerge=64,474.008166,1000000,random-permutations,50
Powersort+MinMerge=64,363.083619,1000000,random-permutations,51
Powersort+MinMerge=64,381.904057,1000000,random-permutations,52
Powersort+MinMerge=64,404.650523,1000000,random-permutations,53
Powersort+MinMerge=64,403.961496,1000000,random-permutations,54
Powersort+MinMerge=64,385.159911,1000000,random-permutations,55
Powersort+MinMerge=64,340.224384,1000000,random-permutations,56
Powersort+MinMerge=64,344.334223,1000000,random-permutations,57
Powersort+MinMerge=64,350.404796,1000000,random-permutations,58
Powersort+MinMerge=64,357.024125,1000000,random-permutations,59
Powersort+MinMerge=64,371.392387,1000000,random-permutations,60
Powersort+MinMerge=64,369.720735,1000000,random-permutations,61
Powersort+MinMerge=64,386.95537,1000000,random-permutations,62
Powersort+MinMerge=64,360.36794,1000000,random-permutations,63
Powersort+MinMerge=64,438.500697,1000000,random-permutations,64
Powersort+MinMerge=64,367.090504,1000000,random-permutations,65
Powersort+MinMerge=64,357.135402,1000000,random-permutations,66
Powersort+MinMerge=64,370.800146,1000000,random-permutations,67
Powersort+MinMerge=64,405.347236,1000000,random-permutations,68
Powersort+MinMerge=64,367.004258,1000000,random-permutations,69
Powersort+MinMerge=64,400.4765,1000000,random-permutations,70
Powersort+MinMerge=64,355.340389,1000000,random-permutations,71
Powersort+MinMerge=64,356.478849,1000000,random-permutations,72
Powersort+MinMerge=64,351.287331,1000000,random-permutations,73
Powersort+MinMerge=64,347.285683,1000000,random-permutations,74
Powersort+MinMerge=64,367.931563,1000000,random-permutations,75
Powersort+MinMerge=64,367.531817,1000000,random-permutations,76
Powersort+MinMerge=64,371.932353,1000000,random-permutations,77
Powersort+MinMerge=64,360.054393,1000000,random-permutations,78
Powersort+MinMerge=64,348.43517,1000000,random-permutations,79
Powersort+MinMerge=64,350.256195,1000000,random-permutations,80
Powersort+MinMerge=64,359.794048,1000000,random-permutations,81
Powersort+MinMerge=64,704.339163,1000000,random-permutations,82
Powersort+MinMerge=64,361.720432,1000000,random-permutations,83
Powersort+MinMerge=64,366.729651,1000000,random-permutations,84
Powersort+MinMerge=64,362.875572,1000000,random-permutations,85
Powersort+MinMerge=64,355.697093,1000000,random-permutations,86
Powersort+MinMerge=64,441.542579,1000000,random-permutations,87
Powersort+MinMerge=64,402.760555,1000000,random-permutations,88
Powersort+MinMerge=64,379.224386,1000000,random-permutations,89
Powersort+MinMerge=64,382.371122,1000000,random-permutations,90
Powersort+MinMerge=64,370.733951,1000000,random-permutations,91
Powersort+MinMerge=64,382.577826,1000000,random-permutations,92
Powersort+MinMerge=64,395.887898,1000000,random-permutations,93
Powersort+MinMerge=64,449.481559,1000000,random-permutations,94
Powersort+MinMerge=64,390.058408,1000000,random-permutations,95
Powersort+MinMerge=64,461.499505,1000000,random-permutations,96
Powersort+MinMerge=64,390.42307,1000000,random-permutations,97
Powersort+MinMerge=64,413.22016,1000000,random-permutations,98
Powersort+MinMerge=64,369.905869,1000000,random-permutations,99
Finished input type: random-permutations Average ms: 388.2353844Fastest time (ms): 340.224384
Powersort+MinMerge=64,333.267476,1000000,runs-with-exp-len-10,1
Powersort+MinMerge=64,368.502641,1000000,runs-with-exp-len-10,2
Powersort+MinMerge=64,318.601883,1000000,runs-with-exp-len-10,3
Powersort+MinMerge=64,321.820041,1000000,runs-with-exp-len-10,4
Powersort+MinMerge=64,362.32378,1000000,runs-with-exp-len-10,5
Powersort+MinMerge=64,319.316634,1000000,runs-with-exp-len-10,6
Powersort+MinMerge=64,325.222047,1000000,runs-with-exp-len-10,7
Powersort+MinMerge=64,332.214161,1000000,runs-with-exp-len-10,8
Powersort+MinMerge=64,336.959408,1000000,runs-with-exp-len-10,9
Powersort+MinMerge=64,324.475503,1000000,runs-with-exp-len-10,10
Powersort+MinMerge=64,369.748949,1000000,runs-with-exp-len-10,11
Powersort+MinMerge=64,336.611855,1000000,runs-with-exp-len-10,12
Powersort+MinMerge=64,319.191768,1000000,runs-with-exp-len-10,13
Powersort+MinMerge=64,339.364755,1000000,runs-with-exp-len-10,14
Powersort+MinMerge=64,311.77648,1000000,runs-with-exp-len-10,15
Powersort+MinMerge=64,332.863561,1000000,runs-with-exp-len-10,16
Powersort+MinMerge=64,329.014094,1000000,runs-with-exp-len-10,17
Powersort+MinMerge=64,387.560412,1000000,runs-with-exp-len-10,18
Powersort+MinMerge=64,320.317837,1000000,runs-with-exp-len-10,19
Powersort+MinMerge=64,326.106246,1000000,runs-with-exp-len-10,20
Powersort+MinMerge=64,324.887046,1000000,runs-with-exp-len-10,21
Powersort+MinMerge=64,329.335133,1000000,runs-with-exp-len-10,22
Powersort+MinMerge=64,332.428318,1000000,runs-with-exp-len-10,23
Powersort+MinMerge=64,329.28512,1000000,runs-with-exp-len-10,24
Powersort+MinMerge=64,360.968613,1000000,runs-with-exp-len-10,25
Powersort+MinMerge=64,372.350113,1000000,runs-with-exp-len-10,26
Powersort+MinMerge=64,367.389596,1000000,runs-with-exp-len-10,27
Powersort+MinMerge=64,353.169407,1000000,runs-with-exp-len-10,28
Powersort+MinMerge=64,369.047638,1000000,runs-with-exp-len-10,29
Powersort+MinMerge=64,366.030389,1000000,runs-with-exp-len-10,30
Powersort+MinMerge=64,367.33972,1000000,runs-with-exp-len-10,31
Powersort+MinMerge=64,337.407828,1000000,runs-with-exp-len-10,32
Powersort+MinMerge=64,321.016809,1000000,runs-with-exp-len-10,33
Powersort+MinMerge=64,322.223812,1000000,runs-with-exp-len-10,34
Powersort+MinMerge=64,347.33725,1000000,runs-with-exp-len-10,35
Powersort+MinMerge=64,332.680671,1000000,runs-with-exp-len-10,36
Powersort+MinMerge=64,333.548007,1000000,runs-with-exp-len-10,37
Powersort+MinMerge=64,357.214762,1000000,runs-with-exp-len-10,38
Powersort+MinMerge=64,325.925272,1000000,runs-with-exp-len-10,39
Powersort+MinMerge=64,315.956856,1000000,runs-with-exp-len-10,40
Powersort+MinMerge=64,303.90216,1000000,runs-with-exp-len-10,41
Powersort+MinMerge=64,316.215947,1000000,runs-with-exp-len-10,42
Powersort+MinMerge=64,318.509458,1000000,runs-with-exp-len-10,43
Powersort+MinMerge=64,325.488777,1000000,runs-with-exp-len-10,44
Powersort+MinMerge=64,321.05779,1000000,runs-with-exp-len-10,45
Powersort+MinMerge=64,328.364373,1000000,runs-with-exp-len-10,46
Powersort+MinMerge=64,323.205458,1000000,runs-with-exp-len-10,47
Powersort+MinMerge=64,312.206176,1000000,runs-with-exp-len-10,48
