algorithm,ms,n,input,input-num
Powersort+MinRun=10,405.261859,1000000,random-permutations,1
Powersort+MinRun=10,404.230315,1000000,random-permutations,2
Powersort+MinRun=10,416.404592,1000000,random-permutations,3
Powersort+MinRun=10,401.111303,1000000,random-permutations,4
Powersort+MinRun=10,460.841918,1000000,random-permutations,5
Powersort+MinRun=10,461.918308,1000000,random-permutations,6
Powersort+MinRun=10,415.934595,1000000,random-permutations,7
Powersort+MinRun=10,410.504419,1000000,random-permutations,8
Powersort+MinRun=10,402.56982,1000000,random-permutations,9
Powersort+MinRun=10,408.417165,1000000,random-permutations,10
Powersort+MinRun=10,457.097094,1000000,random-permutations,11
Powersort+MinRun=10,499.797492,1000000,random-permutations,12
Powersort+MinRun=10,729.661146,1000000,random-permutations,13
Powersort+MinRun=10,433.477928,1000000,random-permutations,14
Powersort+MinRun=10,387.141741,1000000,random-permutations,15
Powersort+MinRun=10,404.027828,1000000,random-permutations,16
Powersort+MinRun=10,388.491578,1000000,random-permutations,17
Powersort+MinRun=10,391.733109,1000000,random-permutations,18
Powersort+MinRun=10,382.90104,1000000,random-permutations,19
Powersort+MinRun=10,390.534424,1000000,random-permutations,20
Powersort+MinRun=10,392.167967,1000000,random-permutations,21
Powersort+MinRun=10,411.716771,1000000,random-permutations,22
Powersort+MinRun=10,408.802808,1000000,random-permutations,23
Powersort+MinRun=10,399.255137,1000000,random-permutations,24
Powersort+MinRun=10,416.029167,1000000,random-permutations,25
Powersort+MinRun=10,402.936533,1000000,random-permutations,26
Powersort+MinRun=10,408.647155,1000000,random-permutations,27
Powersort+MinRun=10,409.634078,1000000,random-permutations,28
Powersort+MinRun=10,407.451199,1000000,random-permutations,29
Powersort+MinRun=10,400.721686,1000000,random-permutations,30
Powersort+MinRun=10,437.765868,1000000,random-permutations,31
Powersort+MinRun=10,414.77266,1000000,random-permutations,32
Powersort+MinRun=10,402.588027,1000000,random-permutations,33
Powersort+MinRun=10,424.762922,1000000,random-permutations,34
Powersort+MinRun=10,395.561045,1000000,random-permutations,35
Powersort+MinRun=10,390.994398,1000000,random-permutations,36
Powersort+MinRun=10,397.683155,1000000,random-permutations,37
Powersort+MinRun=10,402.404243,1000000,random-permutations,38
Powersort+MinRun=10,414.766348,1000000,random-permutations,39
Powersort+MinRun=10,405.107921,1000000,random-permutations,40
Powersort+MinRun=10,434.306385,1000000,random-permutations,41
Powersort+MinRun=10,416.480395,1000000,random-permutations,42
Powersort+MinRun=10,403.56891,1000000,random-permutations,43
Powersort+MinRun=10,518.013945,1000000,random-permutations,44
Powersort+MinRun=10,386.049333,1000000,random-permutations,45
Powersort+MinRun=10,435.56255,1000000,random-permutations,46
Powersort+MinRun=10,393.654054,1000000,random-permutations,47
Powersort+MinRun=10,403.652321,1000000,random-permutations,48
Powersort+MinRun=10,413.956082,1000000,random-permutations,49
Powersort+MinRun=10,391.8634,1000000,random-permutations,50
Powersort+MinRun=10,401.648904,1000000,random-permutations,51
Powersort+MinRun=10,392.773697,1000000,random-permutations,52
Powersort+MinRun=10,384.271085,1000000,random-permutations,53
