algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+PC,0.131,100,random-permutations,1,200,635
Powersort+PC,0.0827,100,random-permutations,2,200,641
Powersort+PC,0.0951,100,random-permutations,3,200,636
Powersort+PC,0.0709,100,random-permutations,4,200,638
Powersort+PC,0.0675,100,random-permutations,5,200,627
Powersort+PC,0.0685,100,random-permutations,6,200,634
Powersort+PC,0.0699,100,random-permutations,7,200,634
Powersort+PC,0.0599,100,random-permutations,8,200,638
Powersort+PC,0.0517,100,random-permutations,9,200,628
Powersort+PC,0.0607,100,random-permutations,10,200,636
Powersort+PC,0.052,100,random-permutations,11,200,634
Powersort+PC,0.0513,100,random-permutations,12,200,646
Powersort+PC,0.0553,100,random-permutations,13,200,634
Powersort+PC,0.0542,100,random-permutations,14,200,635
Powersort+PC,0.0808,100,random-permutations,15,200,640
Powersort+PC,0.0553,100,random-permutations,16,200,638
Powersort+PC,0.0512,100,random-permutations,17,200,646
Powersort+PC,0.0516,100,random-permutations,18,200,634
Powersort+PC,0.0663,100,random-permutations,19,200,643
Powersort+PC,0.0511,100,random-permutations,20,200,637
Powersort+PC,0.0507,100,random-permutations,21,200,643
Powersort+PC,0.0526,100,random-permutations,22,200,641
Powersort+PC,0.051,100,random-permutations,23,200,630
Powersort+PC,0.055,100,random-permutations,24,200,629
Powersort+PC,0.0492,100,random-permutations,25,200,639
Powersort+PC,0.0568,100,random-permutations,26,200,636
Powersort+PC,0.0537,100,random-permutations,27,200,641
Powersort+PC,0.0514,100,random-permutations,28,200,636
Powersort+PC,0.0508,100,random-permutations,29,200,634
Powersort+PC,0.0511,100,random-permutations,30,200,630
Powersort+PC,0.0511,100,random-permutations,31,200,642
Powersort+PC,0.0512,100,random-permutations,32,200,640
Powersort+PC,0.0505,100,random-permutations,33,200,633
Powersort+PC,0.0536,100,random-permutations,34,200,634
Powersort+PC,0.0556,100,random-permutations,35,200,639
Powersort+PC,0.0566,100,random-permutations,36,200,629
Powersort+PC,0.0515,100,random-permutations,37,200,645
Powersort+PC,0.0611,100,random-permutations,38,200,642
Powersort+PC,0.0561,100,random-permutations,39,200,639
Powersort+PC,0.051,100,random-permutations,40,200,636
Powersort+PC,0.0506,100,random-permutations,41,200,637
Powersort+PC,0.0522,100,random-permutations,42,200,638
Powersort+PC,0.0493,100,random-permutations,43,200,634
Powersort+PC,0.0489,100,random-permutations,44,200,631
Powersort+PC,0.0509,100,random-permutations,45,200,630
Powersort+PC,0.0488,100,random-permutations,46,200,641
Powersort+PC,0.05,100,random-permutations,47,200,641
Powersort+PC,0.0508,100,random-permutations,48,200,640
Powersort+PC,0.0575,100,random-permutations,49,200,637
Powersort+PC,0.052,100,random-permutations,50,200,643
Powersort+PC,0.0494,100,random-permutations,51,200,637
Powersort+PC,0.0507,100,random-permutations,52,200,636
Powersort+PC,0.049,100,random-permutations,53,200,638
Powersort+PC,0.0611,100,random-permutations,54,200,634
Powersort+PC,0.0502,100,random-permutations,55,200,637
Powersort+PC,0.0506,100,random-permutations,56,200,638
Powersort+PC,0.0504,100,random-permutations,57,200,635
Powersort+PC,0.0501,100,random-permutations,58,200,648
Powersort+PC,0.0499,100,random-permutations,59,200,642
Powersort+PC,0.0496,100,random-permutations,60,200,636
Powersort+PC,0.0502,100,random-permutations,61,200,636
Powersort+PC,0.051,100,random-permutations,62,200,643
Powersort+PC,0.0711,100,random-permutations,63,200,643
Powersort+PC,0.0549,100,random-permutations,64,200,648
Powersort+PC,0.0475,100,random-permutations,65,200,631
Powersort+PC,0.0486,100,random-permutations,66,200,631
Powersort+PC,0.0499,100,random-permutations,67,200,637
Powersort+PC,0.0487,100,random-permutations,68,200,639
Powersort+PC,0.0509,100,random-permutations,69,200,640
Powersort+PC,0.0475,100,random-permutations,70,200,635
Powersort+PC,0.0498,100,random-permutations,71,200,639
Powersort+PC,0.0495,100,random-permutations,72,200,637
Powersort+PC,0.0589,100,random-permutations,73,200,638
Powersort+PC,0.0523,100,random-permutations,74,200,635
Powersort+PC,0.0602,100,random-permutations,75,200,639
Powersort+PC,0.0454,100,random-permutations,76,200,639
Powersort+PC,0.0422,100,random-permutations,77,200,631
Powersort+PC,0.0458,100,random-permutations,78,200,641
Powersort+PC,0.0433,100,random-permutations,79,200,643
Powersort+PC,0.047,100,random-permutations,80,200,644
Powersort+PC,0.0441,100,random-permutations,81,200,632
Powersort+PC,0.0426,100,random-permutations,82,200,641
Powersort+PC,0.0465,100,random-permutations,83,200,636
Powersort+PC,0.048,100,random-permutations,84,200,628
Powersort+PC,0.0448,100,random-permutations,85,200,630
Powersort+PC,0.0445,100,random-permutations,86,200,631
Powersort+PC,0.0398,100,random-permutations,87,200,629
Powersort+PC,0.0385,100,random-permutations,88,200,636
Powersort+PC,0.0396,100,random-permutations,89,200,635
