algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+VisualVm,0.03445,100,runs-with-exp-len-1000,1,0,198
Powersort+VisualVm,0.037108,100,runs-with-exp-len-1000,2,0,198
Powersort+VisualVm,0.026997,100,runs-with-exp-len-1000,3,0,198
Powersort+VisualVm,0.006993,100,runs-with-exp-len-1000,4,0,198
Powersort+VisualVm,0.006789,100,runs-with-exp-len-1000,5,0,198
Powersort+VisualVm,0.008019,100,runs-with-exp-len-1000,6,0,198
Powersort+VisualVm,0.006826,100,runs-with-exp-len-1000,7,0,198
Powersort+VisualVm,0.013914,100,runs-with-exp-len-1000,8,0,198
Powersort+VisualVm,0.007004,100,runs-with-exp-len-1000,9,0,198
Powersort+VisualVm,0.006757,100,runs-with-exp-len-1000,10,0,198
Powersort+VisualVm,0.007479,100,runs-with-exp-len-1000,11,0,198
Powersort+VisualVm,0.013462,100,runs-with-exp-len-1000,12,0,198
Powersort+VisualVm,0.004477,100,runs-with-exp-len-1000,13,0,198
Powersort+VisualVm,0.004408,100,runs-with-exp-len-1000,14,0,198
Powersort+VisualVm,0.004372,100,runs-with-exp-len-1000,15,0,198
Powersort+VisualVm,0.004324,100,runs-with-exp-len-1000,16,0,198
Powersort+VisualVm,0.004217,100,runs-with-exp-len-1000,17,0,198
Powersort+VisualVm,0.004126,100,runs-with-exp-len-1000,18,0,198
Powersort+VisualVm,0.004223,100,runs-with-exp-len-1000,19,0,198
Powersort+VisualVm,0.004254,100,runs-with-exp-len-1000,20,0,198
Powersort+VisualVm,0.00417,100,runs-with-exp-len-1000,21,0,198
Powersort+VisualVm,0.004314,100,runs-with-exp-len-1000,22,0,198
Powersort+VisualVm,0.004425,100,runs-with-exp-len-1000,23,0,198
Powersort+VisualVm,0.004376,100,runs-with-exp-len-1000,24,0,198
Powersort+VisualVm,0.004476,100,runs-with-exp-len-1000,25,0,198
Powersort+VisualVm,0.004269,100,runs-with-exp-len-1000,26,0,198
Powersort+VisualVm,0.004328,100,runs-with-exp-len-1000,27,0,198
Powersort+VisualVm,0.106855,100,runs-with-exp-len-1000,28,100,283
Powersort+VisualVm,0.004571,100,runs-with-exp-len-1000,29,0,198
Powersort+VisualVm,0.010444,100,runs-with-exp-len-1000,30,0,198
Powersort+VisualVm,0.004451,100,runs-with-exp-len-1000,31,0,198
Powersort+VisualVm,0.004199,100,runs-with-exp-len-1000,32,0,198
Powersort+VisualVm,0.00418,100,runs-with-exp-len-1000,33,0,198
Powersort+VisualVm,0.004236,100,runs-with-exp-len-1000,34,0,198
Powersort+VisualVm,0.004169,100,runs-with-exp-len-1000,35,0,198
Powersort+VisualVm,0.00418,100,runs-with-exp-len-1000,36,0,198
Powersort+VisualVm,0.004253,100,runs-with-exp-len-1000,37,0,198
Powersort+VisualVm,0.004072,100,runs-with-exp-len-1000,38,0,198
Powersort+VisualVm,0.004144,100,runs-with-exp-len-1000,39,0,198
Powersort+VisualVm,0.004265,100,runs-with-exp-len-1000,40,0,198
