algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+costs+slowCompare,0.434264,100,runs-with-exp-len-1000,1,0,198
Powersort+costs+slowCompare,0.483389,100,runs-with-exp-len-1000,2,0,198
Powersort+costs+slowCompare,0.263704,100,runs-with-exp-len-1000,3,0,198
Powersort+costs+slowCompare,0.155113,100,runs-with-exp-len-1000,4,0,198
Powersort+costs+slowCompare,0.162158,100,runs-with-exp-len-1000,5,0,198
Powersort+costs+slowCompare,0.360172,100,runs-with-exp-len-1000,6,0,198
Powersort+costs+slowCompare,0.083397,100,runs-with-exp-len-1000,7,0,198
Powersort+costs+slowCompare,0.048954,100,runs-with-exp-len-1000,8,0,198
Powersort+costs+slowCompare,0.053154,100,runs-with-exp-len-1000,9,0,198
Powersort+costs+slowCompare,0.114063,100,runs-with-exp-len-1000,10,0,198
Powersort+costs+slowCompare,0.049317,100,runs-with-exp-len-1000,11,0,198
Powersort+costs+slowCompare,0.048463,100,runs-with-exp-len-1000,12,0,198
Powersort+costs+slowCompare,0.049446,100,runs-with-exp-len-1000,13,0,198
Powersort+costs+slowCompare,0.06069,100,runs-with-exp-len-1000,14,0,198
Powersort+costs+slowCompare,0.046638,100,runs-with-exp-len-1000,15,0,198
Powersort+costs+slowCompare,0.048677,100,runs-with-exp-len-1000,16,0,198
Powersort+costs+slowCompare,0.047109,100,runs-with-exp-len-1000,17,0,198
Powersort+costs+slowCompare,0.045558,100,runs-with-exp-len-1000,18,0,198
Powersort+costs+slowCompare,0.049964,100,runs-with-exp-len-1000,19,0,198
Powersort+costs+slowCompare,0.046606,100,runs-with-exp-len-1000,20,0,198
Powersort+costs+slowCompare,0.04857,100,runs-with-exp-len-1000,21,0,198
Powersort+costs+slowCompare,0.046605,100,runs-with-exp-len-1000,22,0,198
Powersort+costs+slowCompare,0.04741,100,runs-with-exp-len-1000,23,0,198
Powersort+costs+slowCompare,0.046095,100,runs-with-exp-len-1000,24,0,198
Powersort+costs+slowCompare,0.061643,100,runs-with-exp-len-1000,25,0,198
Powersort+costs+slowCompare,0.048827,100,runs-with-exp-len-1000,26,0,198
Powersort+costs+slowCompare,0.040979,100,runs-with-exp-len-1000,27,0,198
Powersort+costs+slowCompare,0.16268,100,runs-with-exp-len-1000,28,100,283
Powersort+costs+slowCompare,0.026924,100,runs-with-exp-len-1000,29,0,198
Powersort+costs+slowCompare,0.035315,100,runs-with-exp-len-1000,30,0,198
Powersort+costs+slowCompare,0.028827,100,runs-with-exp-len-1000,31,0,198
Powersort+costs+slowCompare,0.031895,100,runs-with-exp-len-1000,32,0,198
Powersort+costs+slowCompare,0.027056,100,runs-with-exp-len-1000,33,0,198
Powersort+costs+slowCompare,0.120142,100,runs-with-exp-len-1000,34,0,198
Powersort+costs+slowCompare,0.040888,100,runs-with-exp-len-1000,35,0,198
Powersort+costs+slowCompare,0.039921,100,runs-with-exp-len-1000,36,0,198
Powersort+costs+slowCompare,0.040608,100,runs-with-exp-len-1000,37,0,198
Powersort+costs+slowCompare,0.03838,100,runs-with-exp-len-1000,38,0,198
Powersort+costs+slowCompare,0.043426,100,runs-with-exp-len-1000,39,0,198
Powersort+costs+slowCompare,0.050625,100,runs-with-exp-len-1000,40,0,198
Powersort+costs+slowCompare,0.041236,100,runs-with-exp-len-1000,41,0,198
Powersort+costs+slowCompare,0.039051,100,runs-with-exp-len-1000,42,0,198
Powersort+costs+slowCompare,0.088885,100,runs-with-exp-len-1000,43,0,198
Powersort+costs+slowCompare,0.040044,100,runs-with-exp-len-1000,44,0,198
Powersort+costs+slowCompare,0.02581,100,runs-with-exp-len-1000,45,0,198
Powersort+costs+slowCompare,0.116238,100,runs-with-exp-len-1000,46,100,292
Powersort+costs+slowCompare,0.029704,100,runs-with-exp-len-1000,47,0,198
Powersort+costs+slowCompare,0.024636,100,runs-with-exp-len-1000,48,0,198
Powersort+costs+slowCompare,0.024434,100,runs-with-exp-len-1000,49,0,198
Powersort+costs+slowCompare,0.024482,100,runs-with-exp-len-1000,50,0,198
Powersort+costs+slowCompare,0.040525,100,runs-with-exp-len-1000,51,0,198
Powersort+costs+slowCompare,0.041775,100,runs-with-exp-len-1000,52,0,198
Powersort+costs+slowCompare,0.024109,100,runs-with-exp-len-1000,53,0,198
Powersort+costs+slowCompare,0.023959,100,runs-with-exp-len-1000,54,0,198
Powersort+costs+slowCompare,0.024764,100,runs-with-exp-len-1000,55,0,198
Powersort+costs+slowCompare,0.023599,100,runs-with-exp-len-1000,56,0,198
Powersort+costs+slowCompare,0.034249,100,runs-with-exp-len-1000,57,0,198
Powersort+costs+slowCompare,0.033974,100,runs-with-exp-len-1000,58,0,198
Powersort+costs+slowCompare,0.022611,100,runs-with-exp-len-1000,59,0,198
Powersort+costs+slowCompare,0.022535,100,runs-with-exp-len-1000,60,0,198
Powersort+costs+slowCompare,0.092053,100,runs-with-exp-len-1000,61,100,260
Powersort+costs+slowCompare,0.023677,100,runs-with-exp-len-1000,62,0,198
Powersort+costs+slowCompare,0.022118,100,runs-with-exp-len-1000,63,0,198
Powersort+costs+slowCompare,0.021583,100,runs-with-exp-len-1000,64,0,198
Powersort+costs+slowCompare,0.029206,100,runs-with-exp-len-1000,65,0,198
Powersort+costs+slowCompare,0.023721,100,runs-with-exp-len-1000,66,0,198
Powersort+costs+slowCompare,0.023697,100,runs-with-exp-len-1000,67,0,198
Powersort+costs+slowCompare,0.023257,100,runs-with-exp-len-1000,68,0,198
Powersort+costs+slowCompare,0.022147,100,runs-with-exp-len-1000,69,0,198
Powersort+costs+slowCompare,0.030623,100,runs-with-exp-len-1000,70,0,198
Powersort+costs+slowCompare,0.022554,100,runs-with-exp-len-1000,71,0,198
Powersort+costs+slowCompare,0.022761,100,runs-with-exp-len-1000,72,0,198
Powersort+costs+slowCompare,0.022857,100,runs-with-exp-len-1000,73,0,198
Powersort+costs+slowCompare,0.021515,100,runs-with-exp-len-1000,74,0,198
Powersort+costs+slowCompare,0.02142,100,runs-with-exp-len-1000,75,0,198
Powersort+costs+slowCompare,0.02792,100,runs-with-exp-len-1000,76,0,198
Powersort+costs+slowCompare,0.022755,100,runs-with-exp-len-1000,77,0,198
Powersort+costs+slowCompare,0.022935,100,runs-with-exp-len-1000,78,0,198
Powersort+costs+slowCompare,0.039263,100,runs-with-exp-len-1000,79,0,198
Powersort+costs+slowCompare,0.030848,100,runs-with-exp-len-1000,80,0,198
Powersort+costs+slowCompare,0.021144,100,runs-with-exp-len-1000,81,0,198
Powersort+costs+slowCompare,0.021476,100,runs-with-exp-len-1000,82,0,198
Powersort+costs+slowCompare,0.020847,100,runs-with-exp-len-1000,83,0,198
Powersort+costs+slowCompare,0.090909,100,runs-with-exp-len-1000,84,100,298
Powersort+costs+slowCompare,0.021224,100,runs-with-exp-len-1000,85,0,198
Powersort+costs+slowCompare,0.022393,100,runs-with-exp-len-1000,86,0,198
