algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+costs,486.061948,1000000,random-permutations,1,15058251,38294811
Powersort+costs,483.181183,1000000,random-permutations,2,15058251,38293583
Powersort+costs,408.870901,1000000,random-permutations,3,15058251,38291963
Powersort+costs,484.268969,1000000,random-permutations,4,15058251,38294687
Powersort+costs,490.941457,1000000,random-permutations,5,15058251,38293685
Powersort+costs,430.444634,1000000,random-permutations,6,15058251,38293312
Powersort+costs,489.608149,1000000,random-permutations,7,15058251,38295113
Powersort+costs,434.731854,1000000,random-permutations,8,15058251,38292820
Powersort+costs,483.869998,1000000,random-permutations,9,15058251,38294711
Powersort+costs,428.005871,1000000,random-permutations,10,15058251,38294343
Powersort+costs,506.457969,1000000,random-permutations,11,15058251,38293649
Powersort+costs,409.043743,1000000,random-permutations,12,15058251,38294566
Powersort+costs,473.229486,1000000,random-permutations,13,15058251,38293343
Powersort+costs,424.649134,1000000,random-permutations,14,15058251,38293334
Powersort+costs,473.065319,1000000,random-permutations,15,15058251,38294816
Powersort+costs,432.053162,1000000,random-permutations,16,15058251,38292633
Powersort+costs,477.288805,1000000,random-permutations,17,15058251,38292594
Powersort+costs,424.918013,1000000,random-permutations,18,15058251,38293937
Powersort+costs,498.357068,1000000,random-permutations,19,15058251,38293001
Powersort+costs,416.942936,1000000,random-permutations,20,15058251,38292601
Powersort+costs,429.261924,1000000,random-permutations,21,15058251,38293758
Powersort+costs,419.866427,1000000,random-permutations,22,15058251,38292456
Powersort+costs,500.411051,1000000,random-permutations,23,15058251,38294205
Powersort+costs,483.105429,1000000,random-permutations,24,15058251,38293610
Powersort+costs,482.919769,1000000,random-permutations,25,15058251,38294389
Powersort+costs,413.318745,1000000,random-permutations,26,15058251,38291845
Powersort+costs,487.054288,1000000,random-permutations,27,15058251,38292954
Powersort+costs,479.713052,1000000,random-permutations,28,15058251,38293033
Powersort+costs,430.088642,1000000,random-permutations,29,15058251,38293116
Powersort+costs,483.656351,1000000,random-permutations,30,15058251,38293606
Powersort+costs,423.28987,1000000,random-permutations,31,15058251,38292227
Powersort+costs,435.181827,1000000,random-permutations,32,15058251,38293848
Powersort+costs,478.859308,1000000,random-permutations,33,15058251,38292737
Powersort+costs,420.409354,1000000,random-permutations,34,15058251,38292340
Powersort+costs,412.060626,1000000,random-permutations,35,15058251,38293981
Powersort+costs,476.266273,1000000,random-permutations,36,15058251,38293666
Powersort+costs,424.319991,1000000,random-permutations,37,15058251,38291834
Powersort+costs,442.087494,1000000,random-permutations,38,15058251,38296245
Powersort+costs,410.262428,1000000,random-permutations,39,15058251,38291857
Powersort+costs,502.383141,1000000,random-permutations,40,15058251,38292450
Powersort+costs,433.559878,1000000,random-permutations,41,15058251,38292693
Powersort+costs,478.529561,1000000,random-permutations,42,15058251,38293065
