algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+simpleMerge,617.120964,1000000,random-permutations,1,15058251,19703177
Powersort+simpleMerge,468.295571,1000000,random-permutations,2,15058251,19702836
Powersort+simpleMerge,466.092112,1000000,random-permutations,3,15058251,19701578
Powersort+simpleMerge,457.850002,1000000,random-permutations,4,15058251,19701316
Powersort+simpleMerge,426.662973,1000000,random-permutations,5,15058251,19701560
Powersort+simpleMerge,441.591171,1000000,random-permutations,6,15058251,19701903
Powersort+simpleMerge,444.10223,1000000,random-permutations,7,15058251,19702650
Powersort+simpleMerge,458.531698,1000000,random-permutations,8,15058251,19702269
Powersort+simpleMerge,454.963847,1000000,random-permutations,9,15058251,19703800
Powersort+simpleMerge,432.730687,1000000,random-permutations,10,15058251,19703114
Powersort+simpleMerge,480.381938,1000000,random-permutations,11,15058251,19702766
Powersort+simpleMerge,464.254029,1000000,random-permutations,12,15058251,19703613
Powersort+simpleMerge,508.444765,1000000,random-permutations,13,15058251,19703465
Powersort+simpleMerge,480.764196,1000000,random-permutations,14,15058251,19700012
Powersort+simpleMerge,485.331772,1000000,random-permutations,15,15058251,19703210
Powersort+simpleMerge,441.705132,1000000,random-permutations,16,15058251,19702597
Powersort+simpleMerge,581.679847,1000000,random-permutations,17,15058251,19702675
Powersort+simpleMerge,517.455929,1000000,random-permutations,18,15058251,19700337
Powersort+simpleMerge,491.058924,1000000,random-permutations,19,15058251,19701154
Powersort+simpleMerge,498.664588,1000000,random-permutations,20,15058251,19702900
Powersort+simpleMerge,539.303928,1000000,random-permutations,21,15058251,19701495
Powersort+simpleMerge,505.825412,1000000,random-permutations,22,15058251,19701640
Powersort+simpleMerge,545.262942,1000000,random-permutations,23,15058251,19701832
Powersort+simpleMerge,603.133023,1000000,random-permutations,24,15058251,19700885
Powersort+simpleMerge,591.182204,1000000,random-permutations,25,15058251,19703077
Powersort+simpleMerge,555.280221,1000000,random-permutations,26,15058251,19701573
Powersort+simpleMerge,571.837629,1000000,random-permutations,27,15058251,19703140
Powersort+simpleMerge,507.126507,1000000,random-permutations,28,15058251,19700690
Powersort+simpleMerge,590.453134,1000000,random-permutations,29,15058251,19702177
Powersort+simpleMerge,442.905633,1000000,random-permutations,30,15058251,19703216
Powersort+simpleMerge,519.216135,1000000,random-permutations,31,15058251,19703093
Powersort+simpleMerge,547.352529,1000000,random-permutations,32,15058251,19703287
Powersort+simpleMerge,588.871265,1000000,random-permutations,33,15058251,19701698
Powersort+simpleMerge,629.473631,1000000,random-permutations,34,15058251,19702943
Powersort+simpleMerge,557.789042,1000000,random-permutations,35,15058251,19702907
Powersort+simpleMerge,623.382868,1000000,random-permutations,36,15058251,19702140
Powersort+simpleMerge,536.962115,1000000,random-permutations,37,15058251,19701071
Powersort+simpleMerge,591.858391,1000000,random-permutations,38,15058251,19702561
Powersort+simpleMerge,522.267372,1000000,random-permutations,39,15058251,19701565
Powersort+simpleMerge,532.988706,1000000,random-permutations,40,15058251,19699511
Powersort+simpleMerge,501.96741,1000000,random-permutations,41,15058251,19702507
Powersort+simpleMerge,533.869219,1000000,random-permutations,42,15058251,19703067
Powersort+simpleMerge,486.831105,1000000,random-permutations,43,15058251,19703386
