algorithm,ms,n,input,input-num
Powersort+timsortTempSizing,719.954759,1000000,random-permutations,1
Powersort+timsortTempSizing,412.868629,1000000,random-permutations,2
Powersort+timsortTempSizing,491.275316,1000000,random-permutations,3
Powersort+timsortTempSizing,406.355357,1000000,random-permutations,4
Powersort+timsortTempSizing,426.754006,1000000,random-permutations,5
Powersort+timsortTempSizing,446.16538,1000000,random-permutations,6
Powersort+timsortTempSizing,439.13618,1000000,random-permutations,7
Powersort+timsortTempSizing,456.018269,1000000,random-permutations,8
Powersort+timsortTempSizing,507.104308,1000000,random-permutations,9
Powersort+timsortTempSizing,486.221291,1000000,random-permutations,10
Powersort+timsortTempSizing,487.477899,1000000,random-permutations,11
Powersort+timsortTempSizing,430.139606,1000000,random-permutations,12
Powersort+timsortTempSizing,466.116207,1000000,random-permutations,13
Powersort+timsortTempSizing,422.948313,1000000,random-permutations,14
Powersort+timsortTempSizing,505.045473,1000000,random-permutations,15
Powersort+timsortTempSizing,485.571015,1000000,random-permutations,16
Powersort+timsortTempSizing,473.295611,1000000,random-permutations,17
Powersort+timsortTempSizing,503.913329,1000000,random-permutations,18
Powersort+timsortTempSizing,498.605288,1000000,random-permutations,19
Powersort+timsortTempSizing,553.889197,1000000,random-permutations,20
Powersort+timsortTempSizing,499.719089,1000000,random-permutations,21
Powersort+timsortTempSizing,618.384646,1000000,random-permutations,22
Powersort+timsortTempSizing,570.846088,1000000,random-permutations,23
Powersort+timsortTempSizing,559.223255,1000000,random-permutations,24
Powersort+timsortTempSizing,487.081913,1000000,random-permutations,25
Powersort+timsortTempSizing,478.541969,1000000,random-permutations,26
Powersort+timsortTempSizing,503.962024,1000000,random-permutations,27
Powersort+timsortTempSizing,493.674992,1000000,random-permutations,28
Powersort+timsortTempSizing,466.581173,1000000,random-permutations,29
Powersort+timsortTempSizing,430.560229,1000000,random-permutations,30
Powersort+timsortTempSizing,448.745188,1000000,random-permutations,31
Powersort+timsortTempSizing,464.302184,1000000,random-permutations,32
Powersort+timsortTempSizing,475.202152,1000000,random-permutations,33
Powersort+timsortTempSizing,463.912894,1000000,random-permutations,34
Powersort+timsortTempSizing,440.47954,1000000,random-permutations,35
Powersort+timsortTempSizing,631.320125,1000000,random-permutations,36
Powersort+timsortTempSizing,506.354253,1000000,random-permutations,37
Powersort+timsortTempSizing,480.073771,1000000,random-permutations,38
Powersort+timsortTempSizing,487.340913,1000000,random-permutations,39
Powersort+timsortTempSizing,484.143537,1000000,random-permutations,40
Powersort+timsortTempSizing,476.372423,1000000,random-permutations,41
Powersort+timsortTempSizing,488.757217,1000000,random-permutations,42
Powersort+timsortTempSizing,528.674562,1000000,random-permutations,43
Powersort+timsortTempSizing,455.041138,1000000,random-permutations,44
Powersort+timsortTempSizing,454.61725,1000000,random-permutations,45
Powersort+timsortTempSizing,462.178034,1000000,random-permutations,46
Powersort+timsortTempSizing,467.204355,1000000,random-permutations,47
Powersort+timsortTempSizing,460.361343,1000000,random-permutations,48
Powersort+timsortTempSizing,447.509163,1000000,random-permutations,49
Powersort+timsortTempSizing,509.117596,1000000,random-permutations,50
Powersort+timsortTempSizing,484.766662,1000000,random-permutations,51
Powersort+timsortTempSizing,449.777235,1000000,random-permutations,52
Powersort+timsortTempSizing,456.071022,1000000,random-permutations,53
Powersort+timsortTempSizing,401.206157,1000000,random-permutations,54
Powersort+timsortTempSizing,407.791308,1000000,random-permutations,55
Powersort+timsortTempSizing,411.679678,1000000,random-permutations,56
Powersort+timsortTempSizing,427.643662,1000000,random-permutations,57
Powersort+timsortTempSizing,398.13132,1000000,random-permutations,58
Powersort+timsortTempSizing,402.555895,1000000,random-permutations,59
Powersort+timsortTempSizing,396.122091,1000000,random-permutations,60
Powersort+timsortTempSizing,415.257537,1000000,random-permutations,61
Powersort+timsortTempSizing,395.552577,1000000,random-permutations,62
Powersort+timsortTempSizing,401.387558,1000000,random-permutations,63
Powersort+timsortTempSizing,396.746685,1000000,random-permutations,64
Powersort+timsortTempSizing,403.614751,1000000,random-permutations,65
Powersort+timsortTempSizing,395.551724,1000000,random-permutations,66
Powersort+timsortTempSizing,393.422124,1000000,random-permutations,67
Powersort+timsortTempSizing,413.945333,1000000,random-permutations,68
Powersort+timsortTempSizing,409.929285,1000000,random-permutations,69
Powersort+timsortTempSizing,404.832606,1000000,random-permutations,70
Powersort+timsortTempSizing,402.666467,1000000,random-permutations,71
Powersort+timsortTempSizing,403.853274,1000000,random-permutations,72
Powersort+timsortTempSizing,407.9388,1000000,random-permutations,73
Powersort+timsortTempSizing,400.320029,1000000,random-permutations,74
Powersort+timsortTempSizing,616.976211,1000000,random-permutations,75
Powersort+timsortTempSizing,620.922602,1000000,random-permutations,76
Powersort+timsortTempSizing,504.691773,1000000,random-permutations,77
Powersort+timsortTempSizing,430.06632,1000000,random-permutations,78
Powersort+timsortTempSizing,396.792696,1000000,random-permutations,79
Powersort+timsortTempSizing,474.446932,1000000,random-permutations,80
Powersort+timsortTempSizing,401.224676,1000000,random-permutations,81
Powersort+timsortTempSizing,398.190259,1000000,random-permutations,82
Powersort+timsortTempSizing,396.648342,1000000,random-permutations,83
Powersort+timsortTempSizing,404.389164,1000000,random-permutations,84
Powersort+timsortTempSizing,440.862559,1000000,random-permutations,85
Powersort+timsortTempSizing,395.803167,1000000,random-permutations,86
Powersort+timsortTempSizing,511.062687,1000000,random-permutations,87
Powersort+timsortTempSizing,397.356273,1000000,random-permutations,88
Powersort+timsortTempSizing,394.858514,1000000,random-permutations,89
Powersort+timsortTempSizing,393.295322,1000000,random-permutations,90
Powersort+timsortTempSizing,390.735168,1000000,random-permutations,91
Powersort+timsortTempSizing,395.922244,1000000,random-permutations,92
Powersort+timsortTempSizing,389.576912,1000000,random-permutations,93
Powersort+timsortTempSizing,405.903072,1000000,random-permutations,94
Powersort+timsortTempSizing,399.744037,1000000,random-permutations,95
Powersort+timsortTempSizing,411.010163,1000000,random-permutations,96
Powersort+timsortTempSizing,398.364649,1000000,random-permutations,97
Powersort+timsortTempSizing,415.166442,1000000,random-permutations,98
Powersort+timsortTempSizing,376.615597,1000000,random-permutations,99
