algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort+xint,0.047971,100,runs-with-exp-len-1000,1,0,198
Powersort+xint,0.035298,100,runs-with-exp-len-1000,2,0,198
Powersort+xint,0.033351,100,runs-with-exp-len-1000,3,0,198
Powersort+xint,0.033423,100,runs-with-exp-len-1000,4,0,198
Powersort+xint,0.033186,100,runs-with-exp-len-1000,5,0,198
Powersort+xint,0.033458,100,runs-with-exp-len-1000,6,0,198
Powersort+xint,0.033232,100,runs-with-exp-len-1000,7,0,198
Powersort+xint,0.033547,100,runs-with-exp-len-1000,8,0,198
Powersort+xint,0.033203,100,runs-with-exp-len-1000,9,0,198
Powersort+xint,0.03366,100,runs-with-exp-len-1000,10,0,198
Powersort+xint,0.033356,100,runs-with-exp-len-1000,11,0,198
Powersort+xint,0.060337,100,runs-with-exp-len-1000,12,0,198
Powersort+xint,0.033176,100,runs-with-exp-len-1000,13,0,198
Powersort+xint,0.03333,100,runs-with-exp-len-1000,14,0,198
Powersort+xint,0.04555,100,runs-with-exp-len-1000,15,0,198
Powersort+xint,0.032502,100,runs-with-exp-len-1000,16,0,198
Powersort+xint,0.032356,100,runs-with-exp-len-1000,17,0,198
Powersort+xint,0.032292,100,runs-with-exp-len-1000,18,0,198
Powersort+xint,0.03068,100,runs-with-exp-len-1000,19,0,198
Powersort+xint,0.030535,100,runs-with-exp-len-1000,20,0,198
Powersort+xint,0.030889,100,runs-with-exp-len-1000,21,0,198
Powersort+xint,0.030826,100,runs-with-exp-len-1000,22,0,198
Powersort+xint,0.030634,100,runs-with-exp-len-1000,23,0,198
Powersort+xint,0.030551,100,runs-with-exp-len-1000,24,0,198
Powersort+xint,0.030447,100,runs-with-exp-len-1000,25,0,198
Powersort+xint,0.030426,100,runs-with-exp-len-1000,26,0,198
Powersort+xint,0.030669,100,runs-with-exp-len-1000,27,0,198
Powersort+xint,0.063077,100,runs-with-exp-len-1000,28,100,283
Powersort+xint,0.030662,100,runs-with-exp-len-1000,29,0,198
Powersort+xint,0.0966,100,runs-with-exp-len-1000,30,0,198
