algorithm,ms,n,input,input-num
Powersort,438.689644,1000000,random-permutations,1
Powersort,407.174093,1000000,random-permutations,2
Powersort,441.516975,1000000,random-permutations,3
Powersort,464.783231,1000000,random-permutations,4
Powersort,398.377185,1000000,random-permutations,5
Powersort,512.612733,1000000,random-permutations,6
Powersort,401.930387,1000000,random-permutations,7
Powersort,444.906251,1000000,random-permutations,8
Powersort,398.485073,1000000,random-permutations,9
Powersort,468.37517,1000000,random-permutations,10
Powersort,501.990746,1000000,random-permutations,11
Powersort,505.719118,1000000,random-permutations,12
Powersort,424.893181,1000000,random-permutations,13
Powersort,438.524106,1000000,random-permutations,14
Powersort,410.011011,1000000,random-permutations,15
Powersort,400.83823,1000000,random-permutations,16
Powersort,471.025541,1000000,random-permutations,17
Powersort,428.67472,1000000,random-permutations,18
Powersort,411.848565,1000000,random-permutations,19
Powersort,449.578804,1000000,random-permutations,20
Powersort,437.690632,1000000,random-permutations,21
Powersort,436.753071,1000000,random-permutations,22
Powersort,433.650352,1000000,random-permutations,23
Powersort,553.035576,1000000,random-permutations,24
Powersort,471.180893,1000000,random-permutations,25
Powersort,466.362638,1000000,random-permutations,26
Powersort,422.118158,1000000,random-permutations,27
Powersort,414.455935,1000000,random-permutations,28
Powersort,408.964851,1000000,random-permutations,29
Powersort,433.698283,1000000,random-permutations,30
Powersort,492.713412,1000000,random-permutations,31
Powersort,504.585678,1000000,random-permutations,32
Powersort,479.27547,1000000,random-permutations,33
Powersort,408.458314,1000000,random-permutations,34
Powersort,446.688633,1000000,random-permutations,35
Powersort,405.57619,1000000,random-permutations,36
Powersort,405.054631,1000000,random-permutations,37
Powersort,425.14031,1000000,random-permutations,38
Powersort,430.760561,1000000,random-permutations,39
Powersort,416.085601,1000000,random-permutations,40
Powersort,413.982765,1000000,random-permutations,41
Powersort,409.609899,1000000,random-permutations,42
Powersort,406.027657,1000000,random-permutations,43
Powersort,405.666302,1000000,random-permutations,44
Powersort,404.211993,1000000,random-permutations,45
Powersort,503.920126,1000000,random-permutations,46
Powersort,442.500049,1000000,random-permutations,47
Powersort,450.481421,1000000,random-permutations,48
Powersort,428.893566,1000000,random-permutations,49
Powersort,435.065201,1000000,random-permutations,50
Powersort,403.042509,1000000,random-permutations,51
Powersort,434.715812,1000000,random-permutations,52
Powersort,449.843987,1000000,random-permutations,53
Powersort,435.295302,1000000,random-permutations,54
Powersort,403.675942,1000000,random-permutations,55
Powersort,426.391993,1000000,random-permutations,56
Powersort,426.62631,1000000,random-permutations,57
Powersort,413.694219,1000000,random-permutations,58
Powersort,409.64389,1000000,random-permutations,59
Powersort,414.601195,1000000,random-permutations,60
Powersort,404.693858,1000000,random-permutations,61
Powersort,424.778039,1000000,random-permutations,62
Powersort,406.165785,1000000,random-permutations,63
Powersort,439.800146,1000000,random-permutations,64
Powersort,413.462648,1000000,random-permutations,65
