algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Powersort,429.2797,1000000,random-permutations,1,15058251,19653792
Powersort,470.158567,1000000,random-permutations,2,15058251,19652678
Powersort,490.301777,1000000,random-permutations,3,15058251,19652105
Powersort,440.211204,1000000,random-permutations,4,15058251,19653382
Powersort,404.815088,1000000,random-permutations,5,15058251,19652708
Powersort,388.375828,1000000,random-permutations,6,15058251,19652484
Powersort,409.373872,1000000,random-permutations,7,15058251,19653821
Powersort,432.632749,1000000,random-permutations,8,15058251,19652564
Powersort,387.622497,1000000,random-permutations,9,15058251,19653580
Powersort,387.364459,1000000,random-permutations,10,15058251,19653298
Powersort,385.499743,1000000,random-permutations,11,15058251,19652595
Powersort,393.561798,1000000,random-permutations,12,15058251,19653565
Powersort,389.14924,1000000,random-permutations,13,15058251,19652840
Powersort,425.926867,1000000,random-permutations,14,15058251,19652757
Powersort,444.614412,1000000,random-permutations,15,15058251,19653668
Powersort,433.29605,1000000,random-permutations,16,15058251,19652248
Powersort,382.388526,1000000,random-permutations,17,15058251,19652401
Powersort,464.059041,1000000,random-permutations,18,15058251,19652825
Powersort,408.799157,1000000,random-permutations,19,15058251,19652320
Powersort,447.355054,1000000,random-permutations,20,15058251,19652118
Powersort,417.405685,1000000,random-permutations,21,15058251,19653166
Powersort,392.565081,1000000,random-permutations,22,15058251,19652159
Powersort,384.994433,1000000,random-permutations,23,15058251,19652927
Powersort,407.793653,1000000,random-permutations,24,15058251,19652726
Powersort,384.914926,1000000,random-permutations,25,15058251,19653344
Powersort,390.542209,1000000,random-permutations,26,15058251,19651711
Powersort,406.94194,1000000,random-permutations,27,15058251,19652374
Powersort,435.761727,1000000,random-permutations,28,15058251,19652345
Powersort,455.675924,1000000,random-permutations,29,15058251,19652690
Powersort,445.864697,1000000,random-permutations,30,15058251,19652969
Powersort,448.881108,1000000,random-permutations,31,15058251,19652020
Powersort,430.84023,1000000,random-permutations,32,15058251,19653203
Powersort,435.638167,1000000,random-permutations,33,15058251,19652428
Powersort,481.479947,1000000,random-permutations,34,15058251,19651969
Powersort,416.65029,1000000,random-permutations,35,15058251,19652793
Powersort,476.964245,1000000,random-permutations,36,15058251,19652933
Powersort,424.255994,1000000,random-permutations,37,15058251,19651647
Powersort,409.212213,1000000,random-permutations,38,15058251,19654475
Powersort,405.143751,1000000,random-permutations,39,15058251,19651711
Powersort,396.791955,1000000,random-permutations,40,15058251,19652387
Powersort,392.891288,1000000,random-permutations,41,15058251,19652163
Powersort,387.367693,1000000,random-permutations,42,15058251,19652219
Powersort,382.348323,1000000,random-permutations,43,15058251,19652508
Powersort,390.011299,1000000,random-permutations,44,15058251,19652060
Powersort,411.616722,1000000,random-permutations,45,15058251,19652700
Powersort,389.066866,1000000,random-permutations,46,15058251,19652503
Powersort,399.364198,1000000,random-permutations,47,15058251,19653016
Powersort,433.777322,1000000,random-permutations,48,15058251,19653019
Powersort,407.006798,1000000,random-permutations,49,15058251,19652828
Powersort,386.550902,1000000,random-permutations,50,15058251,19653309
Powersort,393.575483,1000000,random-permutations,51,15058251,19652392
Powersort,398.007509,1000000,random-permutations,52,15058251,19652519
Powersort,388.494881,1000000,random-permutations,53,15058251,19652809
Powersort,399.52429,1000000,random-permutations,54,15058251,19652856
Powersort,389.647536,1000000,random-permutations,55,15058251,19652493
Powersort,371.495139,1000000,random-permutations,56,15058251,19652765
Powersort,437.269435,1000000,random-permutations,57,15058251,19652536
Powersort,409.70331,1000000,random-permutations,58,15058251,19651872
Powersort,429.449342,1000000,random-permutations,59,15058251,19652237
Powersort,410.268624,1000000,random-permutations,60,15058251,19652481
Powersort,512.189516,1000000,random-permutations,61,15058251,19653655
Powersort,586.45891,1000000,random-permutations,62,15058251,19651309
Powersort,439.977079,1000000,random-permutations,63,15058251,19653374
Powersort,465.775723,1000000,random-permutations,64,15058251,19651895
Powersort,448.550315,1000000,random-permutations,65,15058251,19652227
Powersort,432.064874,1000000,random-permutations,66,15058251,19653268
Powersort,432.631585,1000000,random-permutations,67,15058251,19652087
Powersort,498.146437,1000000,random-permutations,68,15058251,19651412
Powersort,502.795248,1000000,random-permutations,69,15058251,19653671
Powersort,528.531049,1000000,random-permutations,70,15058251,19652064
Powersort,428.003001,1000000,random-permutations,71,15058251,19651942
Powersort,439.246881,1000000,random-permutations,72,15058251,19652592
Powersort,447.543551,1000000,random-permutations,73,15058251,19652378
Powersort,382.775317,1000000,random-permutations,74,15058251,19652832
Powersort,386.422516,1000000,random-permutations,75,15058251,19652620
Powersort,395.257947,1000000,random-permutations,76,15058251,19653256
Powersort,450.474853,1000000,random-permutations,77,15058251,19651662
Powersort,472.202056,1000000,random-permutations,78,15058251,19653307
Powersort,448.697981,1000000,random-permutations,79,15058251,19651672
Powersort,372.033213,1000000,random-permutations,80,15058251,19652622
Powersort,428.109764,1000000,random-permutations,81,15058251,19653090
Powersort,436.177771,1000000,random-permutations,82,15058251,19652710
Powersort,420.696647,1000000,random-permutations,83,15058251,19652015
Powersort,447.726124,1000000,random-permutations,84,15058251,19652630
Powersort,424.582495,1000000,random-permutations,85,15058251,19652962
Powersort,416.632208,1000000,random-permutations,86,15058251,19652716
Powersort,390.77805,1000000,random-permutations,87,15058251,19651914
Powersort,416.379719,1000000,random-permutations,88,15058251,19652423
Powersort,482.317456,1000000,random-permutations,89,15058251,19652374
Powersort,436.901425,1000000,random-permutations,90,15058251,19652827
Powersort,523.699941,1000000,random-permutations,91,15058251,19653171
Powersort,440.770482,1000000,random-permutations,92,15058251,19652645
Powersort,428.502211,1000000,random-permutations,93,15058251,19653099
Powersort,430.077555,1000000,random-permutations,94,15058251,19653826
Powersort,437.017766,1000000,random-permutations,95,15058251,19652523
Powersort,428.357076,1000000,random-permutations,96,15058251,19652340
Powersort,409.349404,1000000,random-permutations,97,15058251,19652795
Powersort,1193.247953,1000000,random-permutations,98,15058251,19652330
Powersort,1887.07929,1000000,random-permutations,99,15058251,19651742
Finished input type: random-permutations Average ms: 449.13568041999997 Fastest time (ms): 371.495139 Slowest time (ms): 1887.07929
Powersort,183.510957,1000000,runs-with-exp-len-1000,1,9680616,11633744
Powersort,232.005092,1000000,runs-with-exp-len-1000,2,9576605,11531250
Powersort,181.120013,1000000,runs-with-exp-len-1000,3,9622084,11577084
Powersort,192.351279,1000000,runs-with-exp-len-1000,4,9631007,11573647
Powersort,193.143642,1000000,runs-with-exp-len-1000,5,9636270,11578578
