algorithm,ms,n,input,input-num
Timsort,405.946545,1000000,random-permutations,1
Timsort,410.777852,1000000,random-permutations,2
Timsort,394.165395,1000000,random-permutations,3
Timsort,400.519607,1000000,random-permutations,4
Timsort,399.559433,1000000,random-permutations,5
Timsort,397.993078,1000000,random-permutations,6
Timsort,392.999032,1000000,random-permutations,7
Timsort,423.350413,1000000,random-permutations,8
Timsort,391.763765,1000000,random-permutations,9
Timsort,390.766252,1000000,random-permutations,10
Timsort,403.921211,1000000,random-permutations,11
Timsort,393.125909,1000000,random-permutations,12
Timsort,392.81622,1000000,random-permutations,13
Timsort,406.306211,1000000,random-permutations,14
Timsort,392.247689,1000000,random-permutations,15
Timsort,392.8531,1000000,random-permutations,16
Timsort,414.384483,1000000,random-permutations,17
Timsort,394.342644,1000000,random-permutations,18
Timsort,395.333554,1000000,random-permutations,19
Timsort,395.008466,1000000,random-permutations,20
Timsort,402.76402,1000000,random-permutations,21
Timsort,450.531398,1000000,random-permutations,22
Timsort,389.469484,1000000,random-permutations,23
Timsort,403.424244,1000000,random-permutations,24
Timsort,393.07987,1000000,random-permutations,25
Timsort,393.527761,1000000,random-permutations,26
Timsort,392.109422,1000000,random-permutations,27
Timsort,396.189811,1000000,random-permutations,28
Timsort,392.567723,1000000,random-permutations,29
Timsort,390.710063,1000000,random-permutations,30
Timsort,392.877859,1000000,random-permutations,31
Timsort,390.366522,1000000,random-permutations,32
Timsort,393.213668,1000000,random-permutations,33
Timsort,398.984823,1000000,random-permutations,34
Timsort,398.916144,1000000,random-permutations,35
Timsort,393.208079,1000000,random-permutations,36
Timsort,386.619135,1000000,random-permutations,37
Timsort,414.836594,1000000,random-permutations,38
Timsort,391.366161,1000000,random-permutations,39
Timsort,396.059652,1000000,random-permutations,40
Timsort,393.047636,1000000,random-permutations,41
Timsort,396.682103,1000000,random-permutations,42
Timsort,392.725001,1000000,random-permutations,43
Timsort,404.782947,1000000,random-permutations,44
Timsort,387.021357,1000000,random-permutations,45
Timsort,390.319131,1000000,random-permutations,46
Timsort,392.944089,1000000,random-permutations,47
Timsort,394.266763,1000000,random-permutations,48
Timsort,393.390467,1000000,random-permutations,49
Timsort,393.811576,1000000,random-permutations,50
Timsort,389.052099,1000000,random-permutations,51
Timsort,393.522058,1000000,random-permutations,52
Timsort,389.482231,1000000,random-permutations,53
Timsort,403.42685,1000000,random-permutations,54
Timsort,390.961271,1000000,random-permutations,55
Timsort,389.860603,1000000,random-permutations,56
Timsort,394.198701,1000000,random-permutations,57
Timsort,407.309437,1000000,random-permutations,58
Timsort,388.469172,1000000,random-permutations,59
Timsort,389.681952,1000000,random-permutations,60
Timsort,393.959212,1000000,random-permutations,61
Timsort,395.957532,1000000,random-permutations,62
Timsort,388.241355,1000000,random-permutations,63
Timsort,392.930339,1000000,random-permutations,64
Timsort,392.351714,1000000,random-permutations,65
Timsort,405.464303,1000000,random-permutations,66
Timsort,391.124647,1000000,random-permutations,67
Timsort,420.413776,1000000,random-permutations,68
Timsort,391.51617,1000000,random-permutations,69
Timsort,395.659555,1000000,random-permutations,70
Timsort,392.424011,1000000,random-permutations,71
Timsort,394.858998,1000000,random-permutations,72
Timsort,391.629914,1000000,random-permutations,73
Timsort,394.304513,1000000,random-permutations,74
Timsort,386.84457,1000000,random-permutations,75
Timsort,390.738608,1000000,random-permutations,76
Timsort,436.043093,1000000,random-permutations,77
Timsort,413.282903,1000000,random-permutations,78
Timsort,386.589674,1000000,random-permutations,79
Timsort,453.030178,1000000,random-permutations,80
Timsort,391.94175,1000000,random-permutations,81
Timsort,392.072898,1000000,random-permutations,82
Timsort,395.583688,1000000,random-permutations,83
Timsort,397.016697,1000000,random-permutations,84
Timsort,499.785621,1000000,random-permutations,85
Timsort,390.447296,1000000,random-permutations,86
Timsort,386.66165,1000000,random-permutations,87
Timsort,391.873456,1000000,random-permutations,88
Timsort,398.406605,1000000,random-permutations,89
Timsort,390.11036,1000000,random-permutations,90
Timsort,394.213458,1000000,random-permutations,91
Timsort,393.252546,1000000,random-permutations,92
Timsort,397.736289,1000000,random-permutations,93
Timsort,404.251748,1000000,random-permutations,94
Timsort,391.72065,1000000,random-permutations,95
Timsort,392.776228,1000000,random-permutations,96
Timsort,396.352171,1000000,random-permutations,97
Timsort,395.201244,1000000,random-permutations,98
Timsort,424.840466,1000000,random-permutations,99
#finished: -2023-04-07_15-31-38 Average ms: 398.6946195
