algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+Drag,0.160684,100,timsort-drag-minRunLen-128,1,200,627
Timsort+Drag,0.088721,100,timsort-drag-minRunLen-128,2,200,632
Timsort+Drag,0.054067,100,timsort-drag-minRunLen-128,3,200,638
Timsort+Drag,0.046171,100,timsort-drag-minRunLen-128,4,200,635
Timsort+Drag,0.068217,100,timsort-drag-minRunLen-128,5,200,642
Timsort+Drag,0.050056,100,timsort-drag-minRunLen-128,6,200,636
Timsort+Drag,0.047765,100,timsort-drag-minRunLen-128,7,200,639
Timsort+Drag,0.049616,100,timsort-drag-minRunLen-128,8,200,637
Timsort+Drag,0.046587,100,timsort-drag-minRunLen-128,9,200,641
Timsort+Drag,0.047555,100,timsort-drag-minRunLen-128,10,200,632
Timsort+Drag,0.047159,100,timsort-drag-minRunLen-128,11,200,642
Timsort+Drag,0.04865,100,timsort-drag-minRunLen-128,12,200,632
Timsort+Drag,0.088475,100,timsort-drag-minRunLen-128,13,200,635
Timsort+Drag,0.038838,100,timsort-drag-minRunLen-128,14,200,632
Timsort+Drag,0.027306,100,timsort-drag-minRunLen-128,15,200,637
Timsort+Drag,0.026591,100,timsort-drag-minRunLen-128,16,200,631
Timsort+Drag,0.046164,100,timsort-drag-minRunLen-128,17,200,638
Timsort+Drag,0.026124,100,timsort-drag-minRunLen-128,18,200,640
Timsort+Drag,0.029429,100,timsort-drag-minRunLen-128,19,200,638
Timsort+Drag,0.026527,100,timsort-drag-minRunLen-128,20,200,635
Timsort+Drag,0.036591,100,timsort-drag-minRunLen-128,21,200,638
Timsort+Drag,0.027888,100,timsort-drag-minRunLen-128,22,200,634
Timsort+Drag,0.030656,100,timsort-drag-minRunLen-128,23,200,641
Timsort+Drag,0.025653,100,timsort-drag-minRunLen-128,24,200,632
Timsort+Drag,0.025409,100,timsort-drag-minRunLen-128,25,200,630
Timsort+Drag,0.028858,100,timsort-drag-minRunLen-128,26,200,631
Timsort+Drag,0.026993,100,timsort-drag-minRunLen-128,27,200,638
Timsort+Drag,0.025369,100,timsort-drag-minRunLen-128,28,200,635
Timsort+Drag,0.029417,100,timsort-drag-minRunLen-128,29,200,641
Timsort+Drag,0.025949,100,timsort-drag-minRunLen-128,30,200,632
Timsort+Drag,0.036641,100,timsort-drag-minRunLen-128,31,200,627
Timsort+Drag,0.026777,100,timsort-drag-minRunLen-128,32,200,628
Timsort+Drag,0.031636,100,timsort-drag-minRunLen-128,33,200,639
Timsort+Drag,0.02442,100,timsort-drag-minRunLen-128,34,200,639
Timsort+Drag,0.026389,100,timsort-drag-minRunLen-128,35,200,632
Timsort+Drag,0.028087,100,timsort-drag-minRunLen-128,36,200,638
Timsort+Drag,0.026439,100,timsort-drag-minRunLen-128,37,200,632
Timsort+Drag,0.026655,100,timsort-drag-minRunLen-128,38,200,643
Timsort+Drag,0.02716,100,timsort-drag-minRunLen-128,39,200,645
Timsort+Drag,0.02816,100,timsort-drag-minRunLen-128,40,200,632
Timsort+Drag,0.031128,100,timsort-drag-minRunLen-128,41,200,636
Timsort+Drag,0.026873,100,timsort-drag-minRunLen-128,42,200,637
Timsort+Drag,0.026984,100,timsort-drag-minRunLen-128,43,200,644
Timsort+Drag,0.025223,100,timsort-drag-minRunLen-128,44,200,651
Timsort+Drag,0.0265,100,timsort-drag-minRunLen-128,45,200,634
Timsort+Drag,0.026196,100,timsort-drag-minRunLen-128,46,200,639
Timsort+Drag,0.026939,100,timsort-drag-minRunLen-128,47,200,638
Timsort+Drag,0.027066,100,timsort-drag-minRunLen-128,48,200,637
Timsort+Drag,0.02711,100,timsort-drag-minRunLen-128,49,200,634
Timsort+Drag,0.028476,100,timsort-drag-minRunLen-128,50,200,639
Timsort+Drag,0.027776,100,timsort-drag-minRunLen-128,51,200,636
Timsort+Drag,0.026133,100,timsort-drag-minRunLen-128,52,200,645
Timsort+Drag,0.028163,100,timsort-drag-minRunLen-128,53,200,628
Timsort+Drag,0.026285,100,timsort-drag-minRunLen-128,54,200,638
Timsort+Drag,0.02713,100,timsort-drag-minRunLen-128,55,200,631
Timsort+Drag,0.028243,100,timsort-drag-minRunLen-128,56,200,640
Timsort+Drag,0.025627,100,timsort-drag-minRunLen-128,57,200,632
Timsort+Drag,0.026613,100,timsort-drag-minRunLen-128,58,200,636
Timsort+Drag,0.025769,100,timsort-drag-minRunLen-128,59,200,640
Timsort+Drag,0.026199,100,timsort-drag-minRunLen-128,60,200,634
Timsort+Drag,0.027708,100,timsort-drag-minRunLen-128,61,200,642
Timsort+Drag,0.026123,100,timsort-drag-minRunLen-128,62,200,633
Timsort+Drag,0.027932,100,timsort-drag-minRunLen-128,63,200,639
Timsort+Drag,0.02786,100,timsort-drag-minRunLen-128,64,200,636
Timsort+Drag,0.027611,100,timsort-drag-minRunLen-128,65,200,640
Timsort+Drag,0.028557,100,timsort-drag-minRunLen-128,66,200,647
Timsort+Drag,0.02432,100,timsort-drag-minRunLen-128,67,200,634
Timsort+Drag,0.026114,100,timsort-drag-minRunLen-128,68,200,636
Timsort+Drag,0.027333,100,timsort-drag-minRunLen-128,69,200,641
Timsort+Drag,0.025908,100,timsort-drag-minRunLen-128,70,200,636
Timsort+Drag,0.02651,100,timsort-drag-minRunLen-128,71,200,641
Timsort+Drag,0.025525,100,timsort-drag-minRunLen-128,72,200,639
Timsort+Drag,0.027411,100,timsort-drag-minRunLen-128,73,200,634
Timsort+Drag,0.026352,100,timsort-drag-minRunLen-128,74,200,627
Timsort+Drag,0.026014,100,timsort-drag-minRunLen-128,75,200,638
Timsort+Drag,0.028739,100,timsort-drag-minRunLen-128,76,200,641
Timsort+Drag,0.025372,100,timsort-drag-minRunLen-128,77,200,637
Timsort+Drag,0.027054,100,timsort-drag-minRunLen-128,78,200,633
Timsort+Drag,0.026216,100,timsort-drag-minRunLen-128,79,200,636
Timsort+Drag,0.026063,100,timsort-drag-minRunLen-128,80,200,639
Timsort+Drag,0.047566,100,timsort-drag-minRunLen-128,81,200,639
Timsort+Drag,0.030423,100,timsort-drag-minRunLen-128,82,200,640
Timsort+Drag,0.028106,100,timsort-drag-minRunLen-128,83,200,638
Timsort+Drag,0.026909,100,timsort-drag-minRunLen-128,84,200,639
Timsort+Drag,0.026981,100,timsort-drag-minRunLen-128,85,200,642
Timsort+Drag,0.027629,100,timsort-drag-minRunLen-128,86,200,646
Timsort+Drag,0.026815,100,timsort-drag-minRunLen-128,87,200,637
Timsort+Drag,0.027917,100,timsort-drag-minRunLen-128,88,200,642
Timsort+Drag,0.027336,100,timsort-drag-minRunLen-128,89,200,647
Timsort+Drag,0.026623,100,timsort-drag-minRunLen-128,90,200,636
Timsort+Drag,0.025103,100,timsort-drag-minRunLen-128,91,200,635
Timsort+Drag,0.028077,100,timsort-drag-minRunLen-128,92,200,638
Timsort+Drag,0.027211,100,timsort-drag-minRunLen-128,93,200,631
Timsort+Drag,0.026409,100,timsort-drag-minRunLen-128,94,200,641
Timsort+Drag,0.060184,100,timsort-drag-minRunLen-128,95,200,631
Timsort+Drag,0.026099,100,timsort-drag-minRunLen-128,96,200,642
Timsort+Drag,0.028667,100,timsort-drag-minRunLen-128,97,200,636
Timsort+Drag,0.024738,100,timsort-drag-minRunLen-128,98,200,642
Timsort+Drag,0.025054,100,timsort-drag-minRunLen-128,99,200,635
Finished input type: timsort-drag-minRunLen-128 Average ms: 0.037156919999999996 Fastest time (ms): 0.02432 Slowest time (ms): 0.442841
Timsort+Drag,0.232745,1000,timsort-drag-minRunLen-128,1,2616,4777
Timsort+Drag,0.228133,1000,timsort-drag-minRunLen-128,2,2616,4715
Timsort+Drag,0.246643,1000,timsort-drag-minRunLen-128,3,2616,4780
Timsort+Drag,0.231148,1000,timsort-drag-minRunLen-128,4,2616,4741
Timsort+Drag,0.230072,1000,timsort-drag-minRunLen-128,5,2616,4774
Timsort+Drag,0.22993,1000,timsort-drag-minRunLen-128,6,2616,4785
