algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+PC,0.1262,100,random-permutations,1,200,635
Timsort+PC,0.081,100,random-permutations,2,200,641
Timsort+PC,0.0807,100,random-permutations,3,200,636
Timsort+PC,0.061,100,random-permutations,4,200,638
Timsort+PC,0.1118,100,random-permutations,5,200,627
Timsort+PC,0.0529,100,random-permutations,6,200,634
Timsort+PC,0.0528,100,random-permutations,7,200,634
Timsort+PC,0.0521,100,random-permutations,8,200,638
Timsort+PC,0.0622,100,random-permutations,9,200,628
Timsort+PC,0.0538,100,random-permutations,10,200,636
Timsort+PC,0.0587,100,random-permutations,11,200,634
Timsort+PC,0.0799,100,random-permutations,12,200,646
Timsort+PC,0.0495,100,random-permutations,13,200,634
Timsort+PC,0.0923,100,random-permutations,14,200,635
Timsort+PC,0.0605,100,random-permutations,15,200,640
Timsort+PC,0.0735,100,random-permutations,16,200,638
Timsort+PC,0.0718,100,random-permutations,17,200,646
Timsort+PC,0.0646,100,random-permutations,18,200,634
Timsort+PC,0.0691,100,random-permutations,19,200,643
Timsort+PC,0.0856,100,random-permutations,20,200,637
Timsort+PC,0.0521,100,random-permutations,21,200,643
Timsort+PC,0.0493,100,random-permutations,22,200,641
Timsort+PC,0.0493,100,random-permutations,23,200,630
Timsort+PC,0.0512,100,random-permutations,24,200,629
Timsort+PC,0.0498,100,random-permutations,25,200,639
Timsort+PC,0.0495,100,random-permutations,26,200,636
Timsort+PC,0.0502,100,random-permutations,27,200,641
Timsort+PC,0.0507,100,random-permutations,28,200,636
Timsort+PC,0.0505,100,random-permutations,29,200,634
Timsort+PC,0.0487,100,random-permutations,30,200,630
Timsort+PC,0.0495,100,random-permutations,31,200,642
Timsort+PC,0.0491,100,random-permutations,32,200,640
Timsort+PC,0.0487,100,random-permutations,33,200,633
Timsort+PC,0.0499,100,random-permutations,34,200,634
Timsort+PC,0.0485,100,random-permutations,35,200,639
Timsort+PC,0.0487,100,random-permutations,36,200,629
Timsort+PC,0.0492,100,random-permutations,37,200,645
Timsort+PC,0.0491,100,random-permutations,38,200,642
Timsort+PC,0.0499,100,random-permutations,39,200,639
Timsort+PC,0.0503,100,random-permutations,40,200,636
Timsort+PC,0.0502,100,random-permutations,41,200,637
Timsort+PC,0.0501,100,random-permutations,42,200,638
Timsort+PC,0.0515,100,random-permutations,43,200,634
Timsort+PC,0.0506,100,random-permutations,44,200,631
Timsort+PC,0.0496,100,random-permutations,45,200,630
Timsort+PC,0.049,100,random-permutations,46,200,641
Timsort+PC,0.0495,100,random-permutations,47,200,641
Timsort+PC,0.0503,100,random-permutations,48,200,640
Timsort+PC,0.0475,100,random-permutations,49,200,637
Timsort+PC,0.0516,100,random-permutations,50,200,643
Timsort+PC,0.0487,100,random-permutations,51,200,637
Timsort+PC,0.0518,100,random-permutations,52,200,636
Timsort+PC,0.0495,100,random-permutations,53,200,638
Timsort+PC,0.0479,100,random-permutations,54,200,634
Timsort+PC,0.051,100,random-permutations,55,200,637
Timsort+PC,0.0489,100,random-permutations,56,200,638
Timsort+PC,0.0501,100,random-permutations,57,200,635
Timsort+PC,0.0502,100,random-permutations,58,200,648
Timsort+PC,0.0496,100,random-permutations,59,200,642
Timsort+PC,0.0496,100,random-permutations,60,200,636
Timsort+PC,0.0492,100,random-permutations,61,200,636
Timsort+PC,0.0571,100,random-permutations,62,200,643
Timsort+PC,0.0504,100,random-permutations,63,200,643
Timsort+PC,0.0512,100,random-permutations,64,200,648
Timsort+PC,0.0481,100,random-permutations,65,200,631
Timsort+PC,0.0486,100,random-permutations,66,200,631
Timsort+PC,0.0493,100,random-permutations,67,200,637
Timsort+PC,0.0491,100,random-permutations,68,200,639
Timsort+PC,0.0496,100,random-permutations,69,200,640
Timsort+PC,0.0484,100,random-permutations,70,200,635
Timsort+PC,0.0506,100,random-permutations,71,200,639
Timsort+PC,0.0504,100,random-permutations,72,200,637
Timsort+PC,0.0491,100,random-permutations,73,200,638
Timsort+PC,0.0501,100,random-permutations,74,200,635
Timsort+PC,0.0494,100,random-permutations,75,200,639
Timsort+PC,0.0502,100,random-permutations,76,200,639
Timsort+PC,0.0485,100,random-permutations,77,200,631
Timsort+PC,0.067,100,random-permutations,78,200,641
Timsort+PC,0.0285,100,random-permutations,79,200,643
Timsort+PC,0.0197,100,random-permutations,80,200,644
Timsort+PC,0.0188,100,random-permutations,81,200,632
Timsort+PC,0.0188,100,random-permutations,82,200,641
Timsort+PC,0.0155,100,random-permutations,83,200,636
Timsort+PC,0.0303,100,random-permutations,84,200,628
Timsort+PC,0.015,100,random-permutations,85,200,630
Timsort+PC,0.0174,100,random-permutations,86,200,631
Timsort+PC,0.0288,100,random-permutations,87,200,629
Timsort+PC,0.0209,100,random-permutations,88,200,636
Timsort+PC,0.0214,100,random-permutations,89,200,635
Timsort+PC,0.0246,100,random-permutations,90,200,634
