algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+VisualVm,0.021151,100,runs-with-exp-len-1000,1,0,198
Timsort+VisualVm,0.037004,100,runs-with-exp-len-1000,2,0,198
Timsort+VisualVm,0.024979,100,runs-with-exp-len-1000,3,0,198
Timsort+VisualVm,0.005585,100,runs-with-exp-len-1000,4,0,198
Timsort+VisualVm,0.020676,100,runs-with-exp-len-1000,5,0,198
Timsort+VisualVm,0.005347,100,runs-with-exp-len-1000,6,0,198
Timsort+VisualVm,0.00321,100,runs-with-exp-len-1000,7,0,198
Timsort+VisualVm,0.003208,100,runs-with-exp-len-1000,8,0,198
Timsort+VisualVm,0.003023,100,runs-with-exp-len-1000,9,0,198
Timsort+VisualVm,0.002962,100,runs-with-exp-len-1000,10,0,198
Timsort+VisualVm,0.003875,100,runs-with-exp-len-1000,11,0,198
Timsort+VisualVm,0.003002,100,runs-with-exp-len-1000,12,0,198
Timsort+VisualVm,0.002937,100,runs-with-exp-len-1000,13,0,198
Timsort+VisualVm,0.002987,100,runs-with-exp-len-1000,14,0,198
Timsort+VisualVm,0.002891,100,runs-with-exp-len-1000,15,0,198
Timsort+VisualVm,0.002957,100,runs-with-exp-len-1000,16,0,198
Timsort+VisualVm,0.002967,100,runs-with-exp-len-1000,17,0,198
Timsort+VisualVm,0.002947,100,runs-with-exp-len-1000,18,0,198
Timsort+VisualVm,0.003039,100,runs-with-exp-len-1000,19,0,198
Timsort+VisualVm,0.003002,100,runs-with-exp-len-1000,20,0,198
Timsort+VisualVm,0.003267,100,runs-with-exp-len-1000,21,0,198
Timsort+VisualVm,0.003021,100,runs-with-exp-len-1000,22,0,198
Timsort+VisualVm,0.002986,100,runs-with-exp-len-1000,23,0,198
Timsort+VisualVm,0.003014,100,runs-with-exp-len-1000,24,0,198
Timsort+VisualVm,0.003154,100,runs-with-exp-len-1000,25,0,198
Timsort+VisualVm,0.003081,100,runs-with-exp-len-1000,26,0,198
Timsort+VisualVm,0.003128,100,runs-with-exp-len-1000,27,0,198
Timsort+VisualVm,0.107672,100,runs-with-exp-len-1000,28,100,283
Timsort+VisualVm,0.003032,100,runs-with-exp-len-1000,29,0,198
Timsort+VisualVm,0.003125,100,runs-with-exp-len-1000,30,0,198
Timsort+VisualVm,0.002979,100,runs-with-exp-len-1000,31,0,198
Timsort+VisualVm,0.00298,100,runs-with-exp-len-1000,32,0,198
Timsort+VisualVm,0.002895,100,runs-with-exp-len-1000,33,0,198
Timsort+VisualVm,0.002919,100,runs-with-exp-len-1000,34,0,198
Timsort+VisualVm,0.002904,100,runs-with-exp-len-1000,35,0,198
Timsort+VisualVm,0.002956,100,runs-with-exp-len-1000,36,0,198
Timsort+VisualVm,0.002885,100,runs-with-exp-len-1000,37,0,198
Timsort+VisualVm,0.003093,100,runs-with-exp-len-1000,38,0,198
Timsort+VisualVm,0.00301,100,runs-with-exp-len-1000,39,0,198
Timsort+VisualVm,0.002942,100,runs-with-exp-len-1000,40,0,198
Timsort+VisualVm,0.002934,100,runs-with-exp-len-1000,41,0,198
Timsort+VisualVm,0.003154,100,runs-with-exp-len-1000,42,0,198
Timsort+VisualVm,0.00302,100,runs-with-exp-len-1000,43,0,198
Timsort+VisualVm,0.002952,100,runs-with-exp-len-1000,44,0,198
Timsort+VisualVm,0.002972,100,runs-with-exp-len-1000,45,0,198
Timsort+VisualVm,0.063107,100,runs-with-exp-len-1000,46,100,292
Timsort+VisualVm,0.003136,100,runs-with-exp-len-1000,47,0,198
Timsort+VisualVm,0.002902,100,runs-with-exp-len-1000,48,0,198
Timsort+VisualVm,0.003054,100,runs-with-exp-len-1000,49,0,198
Timsort+VisualVm,0.00288,100,runs-with-exp-len-1000,50,0,198
Timsort+VisualVm,0.002839,100,runs-with-exp-len-1000,51,0,198
Timsort+VisualVm,0.003075,100,runs-with-exp-len-1000,52,0,198
Timsort+VisualVm,0.00288,100,runs-with-exp-len-1000,53,0,198
Timsort+VisualVm,0.00293,100,runs-with-exp-len-1000,54,0,198
Timsort+VisualVm,0.002897,100,runs-with-exp-len-1000,55,0,198
Timsort+VisualVm,0.002938,100,runs-with-exp-len-1000,56,0,198
Timsort+VisualVm,0.002915,100,runs-with-exp-len-1000,57,0,198
Timsort+VisualVm,0.002997,100,runs-with-exp-len-1000,58,0,198
Timsort+VisualVm,0.002951,100,runs-with-exp-len-1000,59,0,198
Timsort+VisualVm,0.002997,100,runs-with-exp-len-1000,60,0,198
Timsort+VisualVm,0.08269,100,runs-with-exp-len-1000,61,100,260
Timsort+VisualVm,0.003465,100,runs-with-exp-len-1000,62,0,198
Timsort+VisualVm,0.003176,100,runs-with-exp-len-1000,63,0,198
Timsort+VisualVm,0.00306,100,runs-with-exp-len-1000,64,0,198
Timsort+VisualVm,0.003006,100,runs-with-exp-len-1000,65,0,198
Timsort+VisualVm,0.003002,100,runs-with-exp-len-1000,66,0,198
Timsort+VisualVm,0.00403,100,runs-with-exp-len-1000,67,0,198
Timsort+VisualVm,0.003019,100,runs-with-exp-len-1000,68,0,198
Timsort+VisualVm,0.003132,100,runs-with-exp-len-1000,69,0,198
Timsort+VisualVm,0.003207,100,runs-with-exp-len-1000,70,0,198
Timsort+VisualVm,0.003115,100,runs-with-exp-len-1000,71,0,198
Timsort+VisualVm,0.003665,100,runs-with-exp-len-1000,72,0,198
Timsort+VisualVm,0.003401,100,runs-with-exp-len-1000,73,0,198
Timsort+VisualVm,0.003082,100,runs-with-exp-len-1000,74,0,198
Timsort+VisualVm,0.00279,100,runs-with-exp-len-1000,75,0,198
Timsort+VisualVm,0.003055,100,runs-with-exp-len-1000,76,0,198
