algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+costs+slowCompare,0.296471,100,runs-with-exp-len-1000,1,0,198
Timsort+costs+slowCompare,0.438683,100,runs-with-exp-len-1000,2,0,198
Timsort+costs+slowCompare,0.213765,100,runs-with-exp-len-1000,3,0,198
Timsort+costs+slowCompare,0.169464,100,runs-with-exp-len-1000,4,0,198
Timsort+costs+slowCompare,0.165096,100,runs-with-exp-len-1000,5,0,198
Timsort+costs+slowCompare,0.12027,100,runs-with-exp-len-1000,6,0,198
Timsort+costs+slowCompare,0.108665,100,runs-with-exp-len-1000,7,0,198
Timsort+costs+slowCompare,0.098768,100,runs-with-exp-len-1000,8,0,198
Timsort+costs+slowCompare,0.079481,100,runs-with-exp-len-1000,9,0,198
Timsort+costs+slowCompare,0.049976,100,runs-with-exp-len-1000,10,0,198
Timsort+costs+slowCompare,0.052145,100,runs-with-exp-len-1000,11,0,198
Timsort+costs+slowCompare,0.052581,100,runs-with-exp-len-1000,12,0,198
Timsort+costs+slowCompare,0.074707,100,runs-with-exp-len-1000,13,0,198
Timsort+costs+slowCompare,0.090615,100,runs-with-exp-len-1000,14,0,198
Timsort+costs+slowCompare,0.048488,100,runs-with-exp-len-1000,15,0,198
Timsort+costs+slowCompare,0.171362,100,runs-with-exp-len-1000,16,0,198
Timsort+costs+slowCompare,0.072053,100,runs-with-exp-len-1000,17,0,198
Timsort+costs+slowCompare,0.047322,100,runs-with-exp-len-1000,18,0,198
Timsort+costs+slowCompare,0.059723,100,runs-with-exp-len-1000,19,0,198
Timsort+costs+slowCompare,0.048615,100,runs-with-exp-len-1000,20,0,198
Timsort+costs+slowCompare,0.116714,100,runs-with-exp-len-1000,21,0,198
Timsort+costs+slowCompare,0.080721,100,runs-with-exp-len-1000,22,0,198
Timsort+costs+slowCompare,0.047702,100,runs-with-exp-len-1000,23,0,198
Timsort+costs+slowCompare,0.039588,100,runs-with-exp-len-1000,24,0,198
Timsort+costs+slowCompare,0.027119,100,runs-with-exp-len-1000,25,0,198
Timsort+costs+slowCompare,0.02786,100,runs-with-exp-len-1000,26,0,198
Timsort+costs+slowCompare,0.028724,100,runs-with-exp-len-1000,27,0,198
Timsort+costs+slowCompare,0.161844,100,runs-with-exp-len-1000,28,100,283
Timsort+costs+slowCompare,0.116653,100,runs-with-exp-len-1000,29,0,198
Timsort+costs+slowCompare,0.027985,100,runs-with-exp-len-1000,30,0,198
Timsort+costs+slowCompare,0.027279,100,runs-with-exp-len-1000,31,0,198
