algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+costs,437.297636,1000000,random-permutations,1,0,19641018
Timsort+costs,432.761596,1000000,random-permutations,2,0,19640904
Timsort+costs,427.951895,1000000,random-permutations,3,0,19639857
Timsort+costs,436.634503,1000000,random-permutations,4,0,19641304
Timsort+costs,431.111808,1000000,random-permutations,5,0,19640976
Timsort+costs,429.903368,1000000,random-permutations,6,0,19640827
Timsort+costs,422.082896,1000000,random-permutations,7,0,19641291
Timsort+costs,474.556647,1000000,random-permutations,8,0,19640255
Timsort+costs,427.130258,1000000,random-permutations,9,0,19641130
Timsort+costs,437.40521,1000000,random-permutations,10,0,19641044
Timsort+costs,431.094999,1000000,random-permutations,11,0,19641053
Timsort+costs,424.729339,1000000,random-permutations,12,0,19641000
Timsort+costs,484.162986,1000000,random-permutations,13,0,19640502
Timsort+costs,430.968068,1000000,random-permutations,14,0,19640576
Timsort+costs,425.232916,1000000,random-permutations,15,0,19641147
Timsort+costs,433.088035,1000000,random-permutations,16,0,19640384
Timsort+costs,428.014726,1000000,random-permutations,17,0,19640192
Timsort+costs,437.529465,1000000,random-permutations,18,0,19641111
Timsort+costs,420.708972,1000000,random-permutations,19,0,19640680
Timsort+costs,422.780494,1000000,random-permutations,20,0,19640482
Timsort+costs,432.753376,1000000,random-permutations,21,0,19640591
Timsort+costs,438.489221,1000000,random-permutations,22,0,19640296
Timsort+costs,437.82737,1000000,random-permutations,23,0,19641277
Timsort+costs,418.049373,1000000,random-permutations,24,0,19640883
Timsort+costs,415.926575,1000000,random-permutations,25,0,19641044
Timsort+costs,424.562033,1000000,random-permutations,26,0,19640133
Timsort+costs,418.035566,1000000,random-permutations,27,0,19640579
Timsort+costs,423.685421,1000000,random-permutations,28,0,19640687
Timsort+costs,416.537046,1000000,random-permutations,29,0,19640425
Timsort+costs,419.813612,1000000,random-permutations,30,0,19640636
Timsort+costs,420.013887,1000000,random-permutations,31,0,19640206
Timsort+costs,437.733282,1000000,random-permutations,32,0,19640644
Timsort+costs,385.962959,1000000,random-permutations,33,0,19640308
Timsort+costs,398.829393,1000000,random-permutations,34,0,19640370
Timsort+costs,392.976232,1000000,random-permutations,35,0,19641187
Timsort+costs,412.968707,1000000,random-permutations,36,0,19640732
Timsort+costs,415.10233,1000000,random-permutations,37,0,19640186
Timsort+costs,428.795237,1000000,random-permutations,38,0,19641769
Timsort+costs,400.962691,1000000,random-permutations,39,0,19640145
Timsort+costs,412.941466,1000000,random-permutations,40,0,19640062
Timsort+costs,395.039184,1000000,random-permutations,41,0,19640529
Timsort+costs,419.375834,1000000,random-permutations,42,0,19640845
Timsort+costs,399.595712,1000000,random-permutations,43,0,19640755
Timsort+costs,429.13445,1000000,random-permutations,44,0,19640650
Timsort+costs,449.40604,1000000,random-permutations,45,0,19640895
Timsort+costs,414.056441,1000000,random-permutations,46,0,19640121
Timsort+costs,411.095856,1000000,random-permutations,47,0,19640677
Timsort+costs,486.590022,1000000,random-permutations,48,0,19641399
Timsort+costs,412.767889,1000000,random-permutations,49,0,19640885
Timsort+costs,407.931645,1000000,random-permutations,50,0,19640535
Timsort+costs,402.461942,1000000,random-permutations,51,0,19640784
Timsort+costs,401.323181,1000000,random-permutations,52,0,19640718
Timsort+costs,389.599166,1000000,random-permutations,53,0,19640059
Timsort+costs,398.45618,1000000,random-permutations,54,0,19639948
Timsort+costs,385.017626,1000000,random-permutations,55,0,19640188
Timsort+costs,397.136239,1000000,random-permutations,56,0,19640485
Timsort+costs,405.205912,1000000,random-permutations,57,0,19640786
Timsort+costs,393.304132,1000000,random-permutations,58,0,19640122
Timsort+costs,386.715957,1000000,random-permutations,59,0,19640159
Timsort+costs,397.928723,1000000,random-permutations,60,0,19640730
Timsort+costs,388.972588,1000000,random-permutations,61,0,19641677
Timsort+costs,397.612434,1000000,random-permutations,62,0,19639684
Timsort+costs,384.821436,1000000,random-permutations,63,0,19641284
Timsort+costs,393.059898,1000000,random-permutations,64,0,19640206
Timsort+costs,389.827397,1000000,random-permutations,65,0,19640088
Timsort+costs,398.804966,1000000,random-permutations,66,0,19641400
Timsort+costs,393.578764,1000000,random-permutations,67,0,19640361
Timsort+costs,399.234182,1000000,random-permutations,68,0,19639747
Timsort+costs,387.503613,1000000,random-permutations,69,0,19640972
Timsort+costs,393.348119,1000000,random-permutations,70,0,19639809
Timsort+costs,414.731655,1000000,random-permutations,71,0,19640527
Timsort+costs,413.850319,1000000,random-permutations,72,0,19640954
Timsort+costs,398.033035,1000000,random-permutations,73,0,19640256
Timsort+costs,388.043242,1000000,random-permutations,74,0,19640521
Timsort+costs,378.990233,1000000,random-permutations,75,0,19640751
Timsort+costs,398.186611,1000000,random-permutations,76,0,19641296
Timsort+costs,408.614585,1000000,random-permutations,77,0,19639907
Timsort+costs,389.488103,1000000,random-permutations,78,0,19641091
Timsort+costs,381.87829,1000000,random-permutations,79,0,19640176
Timsort+costs,410.318952,1000000,random-permutations,80,0,19640490
Timsort+costs,393.289732,1000000,random-permutations,81,0,19641037
Timsort+costs,396.556775,1000000,random-permutations,82,0,19640334
Timsort+costs,449.325882,1000000,random-permutations,83,0,19640525
Timsort+costs,403.113349,1000000,random-permutations,84,0,19641234
Timsort+costs,390.292015,1000000,random-permutations,85,0,19640587
Timsort+costs,423.694516,1000000,random-permutations,86,0,19640405
Timsort+costs,396.997574,1000000,random-permutations,87,0,19640549
Timsort+costs,386.641814,1000000,random-permutations,88,0,19640723
Timsort+costs,394.378297,1000000,random-permutations,89,0,19640302
Timsort+costs,428.580647,1000000,random-permutations,90,0,19640537
Timsort+costs,449.221697,1000000,random-permutations,91,0,19640758
Timsort+costs,435.6155,1000000,random-permutations,92,0,19640366
Timsort+costs,417.484858,1000000,random-permutations,93,0,19640654
Timsort+costs,404.367096,1000000,random-permutations,94,0,19641419
Timsort+costs,435.889611,1000000,random-permutations,95,0,19640679
Timsort+costs,403.163262,1000000,random-permutations,96,0,19640155
Timsort+costs,396.667207,1000000,random-permutations,97,0,19641528
Timsort+costs,394.882721,1000000,random-permutations,98,0,19640903
Timsort+costs,402.85481,1000000,random-permutations,99,0,19640487
Finished input type: random-permutations Average ms: 414.34836647 Fastest time (ms): 378.990233 Slowest time (ms): 493.667137
Timsort+costs,165.90393,1000000,runs-with-exp-len-1000,1,0,12021452
Timsort+costs,178.223008,1000000,runs-with-exp-len-1000,2,0,11692164
Timsort+costs,177.511345,1000000,runs-with-exp-len-1000,3,0,11938819
Timsort+costs,187.092802,1000000,runs-with-exp-len-1000,4,0,12056915
Timsort+costs,181.595348,1000000,runs-with-exp-len-1000,5,0,11870139
Timsort+costs,181.332144,1000000,runs-with-exp-len-1000,6,0,12003270
Timsort+costs,184.663205,1000000,runs-with-exp-len-1000,7,0,12024381
Timsort+costs,175.928103,1000000,runs-with-exp-len-1000,8,0,12106134
Timsort+costs,165.509815,1000000,runs-with-exp-len-1000,9,0,12192197
Timsort+costs,181.042895,1000000,runs-with-exp-len-1000,10,0,11734651
Timsort+costs,183.051377,1000000,runs-with-exp-len-1000,11,0,12168042
Timsort+costs,165.409835,1000000,runs-with-exp-len-1000,12,0,11845605
Timsort+costs,185.423904,1000000,runs-with-exp-len-1000,13,0,12357236
