algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+costs,0.204944,100,random-permutations,1,200,635
Timsort+costs,0.068977,100,random-permutations,2,200,641
Timsort+costs,0.078306,100,random-permutations,3,200,636
Timsort+costs,0.051464,100,random-permutations,4,200,638
Timsort+costs,0.067977,100,random-permutations,5,200,627
Timsort+costs,0.052647,100,random-permutations,6,200,634
Timsort+costs,0.051812,100,random-permutations,7,200,634
Timsort+costs,0.057419,100,random-permutations,8,200,638
Timsort+costs,0.050828,100,random-permutations,9,200,628
Timsort+costs,0.141206,100,random-permutations,10,200,636
Timsort+costs,0.053157,100,random-permutations,11,200,634
Timsort+costs,0.052213,100,random-permutations,12,200,646
Timsort+costs,0.063985,100,random-permutations,13,200,634
Timsort+costs,0.049923,100,random-permutations,14,200,635
Timsort+costs,0.065933,100,random-permutations,15,200,640
Timsort+costs,0.079582,100,random-permutations,16,200,638
Timsort+costs,0.050201,100,random-permutations,17,200,646
Timsort+costs,0.050597,100,random-permutations,18,200,634
Timsort+costs,0.048405,100,random-permutations,19,200,643
Timsort+costs,0.159513,100,random-permutations,20,200,637
Timsort+costs,0.049252,100,random-permutations,21,200,643
Timsort+costs,0.048152,100,random-permutations,22,200,641
Timsort+costs,0.050545,100,random-permutations,23,200,630
Timsort+costs,0.059721,100,random-permutations,24,200,629
Timsort+costs,0.065481,100,random-permutations,25,200,639
Timsort+costs,0.047168,100,random-permutations,26,200,636
Timsort+costs,0.07664,100,random-permutations,27,200,641
Timsort+costs,0.047679,100,random-permutations,28,200,636
Timsort+costs,0.054724,100,random-permutations,29,200,634
Timsort+costs,0.055262,100,random-permutations,30,200,630
Timsort+costs,0.053461,100,random-permutations,31,200,642
Timsort+costs,0.047231,100,random-permutations,32,200,640
Timsort+costs,0.060449,100,random-permutations,33,200,633
Timsort+costs,0.044843,100,random-permutations,34,200,634
Timsort+costs,0.046394,100,random-permutations,35,200,639
Timsort+costs,0.048363,100,random-permutations,36,200,629
Timsort+costs,0.045401,100,random-permutations,37,200,645
Timsort+costs,0.045892,100,random-permutations,38,200,642
Timsort+costs,0.046109,100,random-permutations,39,200,639
Timsort+costs,0.047798,100,random-permutations,40,200,636
Timsort+costs,0.045214,100,random-permutations,41,200,637
Timsort+costs,0.045948,100,random-permutations,42,200,638
Timsort+costs,0.045732,100,random-permutations,43,200,634
Timsort+costs,0.045453,100,random-permutations,44,200,631
Timsort+costs,0.04674,100,random-permutations,45,200,630
Timsort+costs,0.044391,100,random-permutations,46,200,641
Timsort+costs,0.047061,100,random-permutations,47,200,641
Timsort+costs,0.047433,100,random-permutations,48,200,640
Timsort+costs,0.044222,100,random-permutations,49,200,637
Timsort+costs,0.050023,100,random-permutations,50,200,643
Timsort+costs,0.048167,100,random-permutations,51,200,637
Timsort+costs,0.048093,100,random-permutations,52,200,636
Timsort+costs,0.047515,100,random-permutations,53,200,638
Timsort+costs,0.057952,100,random-permutations,54,200,634
Timsort+costs,0.046761,100,random-permutations,55,200,637
Timsort+costs,0.044431,100,random-permutations,56,200,638
Timsort+costs,0.046501,100,random-permutations,57,200,635
Timsort+costs,0.065249,100,random-permutations,58,200,648
Timsort+costs,0.109802,100,random-permutations,59,200,642
Timsort+costs,0.048911,100,random-permutations,60,200,636
Timsort+costs,0.062942,100,random-permutations,61,200,636
Timsort+costs,0.047542,100,random-permutations,62,200,643
Timsort+costs,0.047614,100,random-permutations,63,200,643
Timsort+costs,0.050885,100,random-permutations,64,200,648
Timsort+costs,0.093561,100,random-permutations,65,200,631
Timsort+costs,0.073329,100,random-permutations,66,200,631
Timsort+costs,0.052229,100,random-permutations,67,200,637
Timsort+costs,0.0611,100,random-permutations,68,200,639
Timsort+costs,0.04682,100,random-permutations,69,200,640
Timsort+costs,0.044298,100,random-permutations,70,200,635
Timsort+costs,0.047091,100,random-permutations,71,200,639
Timsort+costs,0.045941,100,random-permutations,72,200,637
Timsort+costs,0.046805,100,random-permutations,73,200,638
Timsort+costs,0.047792,100,random-permutations,74,200,635
Timsort+costs,0.044562,100,random-permutations,75,200,639
