algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort+xint,0.047204,100,runs-with-exp-len-1000,1,0,198
Timsort+xint,0.031979,100,runs-with-exp-len-1000,2,0,198
Timsort+xint,0.030782,100,runs-with-exp-len-1000,3,0,198
Timsort+xint,0.03099,100,runs-with-exp-len-1000,4,0,198
Timsort+xint,0.031175,100,runs-with-exp-len-1000,5,0,198
Timsort+xint,0.030991,100,runs-with-exp-len-1000,6,0,198
Timsort+xint,0.030809,100,runs-with-exp-len-1000,7,0,198
Timsort+xint,0.031147,100,runs-with-exp-len-1000,8,0,198
Timsort+xint,0.03094,100,runs-with-exp-len-1000,9,0,198
Timsort+xint,0.03119,100,runs-with-exp-len-1000,10,0,198
Timsort+xint,0.03066,100,runs-with-exp-len-1000,11,0,198
Timsort+xint,0.050077,100,runs-with-exp-len-1000,12,0,198
Timsort+xint,0.03511,100,runs-with-exp-len-1000,13,0,198
Timsort+xint,0.033224,100,runs-with-exp-len-1000,14,0,198
Timsort+xint,0.033171,100,runs-with-exp-len-1000,15,0,198
Timsort+xint,0.03288,100,runs-with-exp-len-1000,16,0,198
Timsort+xint,0.033233,100,runs-with-exp-len-1000,17,0,198
Timsort+xint,0.03285,100,runs-with-exp-len-1000,18,0,198
Timsort+xint,0.032692,100,runs-with-exp-len-1000,19,0,198
Timsort+xint,0.032808,100,runs-with-exp-len-1000,20,0,198
Timsort+xint,0.033139,100,runs-with-exp-len-1000,21,0,198
Timsort+xint,0.032805,100,runs-with-exp-len-1000,22,0,198
Timsort+xint,0.033115,100,runs-with-exp-len-1000,23,0,198
Timsort+xint,0.032866,100,runs-with-exp-len-1000,24,0,198
Timsort+xint,0.032862,100,runs-with-exp-len-1000,25,0,198
Timsort+xint,0.032928,100,runs-with-exp-len-1000,26,0,198
Timsort+xint,0.03299,100,runs-with-exp-len-1000,27,0,198
Timsort+xint,0.0648,100,runs-with-exp-len-1000,28,100,283
Timsort+xint,0.032203,100,runs-with-exp-len-1000,29,0,198
Timsort+xint,0.031945,100,runs-with-exp-len-1000,30,0,198
Timsort+xint,0.032257,100,runs-with-exp-len-1000,31,0,198
Timsort+xint,0.032167,100,runs-with-exp-len-1000,32,0,198
Timsort+xint,0.032083,100,runs-with-exp-len-1000,33,0,198
Timsort+xint,0.032195,100,runs-with-exp-len-1000,34,0,198
Timsort+xint,0.032651,100,runs-with-exp-len-1000,35,0,198
Timsort+xint,0.032681,100,runs-with-exp-len-1000,36,0,198
Timsort+xint,0.051043,100,runs-with-exp-len-1000,37,0,198
Timsort+xint,0.083622,100,runs-with-exp-len-1000,38,0,198
Timsort+xint,0.034577,100,runs-with-exp-len-1000,39,0,198
Timsort+xint,0.032328,100,runs-with-exp-len-1000,40,0,198
Timsort+xint,0.032463,100,runs-with-exp-len-1000,41,0,198
Timsort+xint,0.032178,100,runs-with-exp-len-1000,42,0,198
Timsort+xint,0.032186,100,runs-with-exp-len-1000,43,0,198
Timsort+xint,0.032133,100,runs-with-exp-len-1000,44,0,198
Timsort+xint,0.032209,100,runs-with-exp-len-1000,45,0,198
Timsort+xint,0.065796,100,runs-with-exp-len-1000,46,100,292
Timsort+xint,0.032191,100,runs-with-exp-len-1000,47,0,198
Timsort+xint,0.031995,100,runs-with-exp-len-1000,48,0,198
Timsort+xint,0.032301,100,runs-with-exp-len-1000,49,0,198
Timsort+xint,0.032074,100,runs-with-exp-len-1000,50,0,198
Timsort+xint,0.03167,100,runs-with-exp-len-1000,51,0,198
Timsort+xint,0.033736,100,runs-with-exp-len-1000,52,0,198
Timsort+xint,0.03233,100,runs-with-exp-len-1000,53,0,198
Timsort+xint,0.032026,100,runs-with-exp-len-1000,54,0,198
Timsort+xint,0.032381,100,runs-with-exp-len-1000,55,0,198
Timsort+xint,0.03263,100,runs-with-exp-len-1000,56,0,198
Timsort+xint,0.032239,100,runs-with-exp-len-1000,57,0,198
Timsort+xint,0.032209,100,runs-with-exp-len-1000,58,0,198
Timsort+xint,0.031535,100,runs-with-exp-len-1000,59,0,198
Timsort+xint,0.031962,100,runs-with-exp-len-1000,60,0,198
Timsort+xint,0.058456,100,runs-with-exp-len-1000,61,100,260
Timsort+xint,0.032193,100,runs-with-exp-len-1000,62,0,198
Timsort+xint,0.033909,100,runs-with-exp-len-1000,63,0,198
Timsort+xint,0.032577,100,runs-with-exp-len-1000,64,0,198
Timsort+xint,0.032385,100,runs-with-exp-len-1000,65,0,198
Timsort+xint,0.032491,100,runs-with-exp-len-1000,66,0,198
Timsort+xint,0.03311,100,runs-with-exp-len-1000,67,0,198
Timsort+xint,0.032335,100,runs-with-exp-len-1000,68,0,198
Timsort+xint,0.033265,100,runs-with-exp-len-1000,69,0,198
Timsort+xint,0.032863,100,runs-with-exp-len-1000,70,0,198
Timsort+xint,0.033118,100,runs-with-exp-len-1000,71,0,198
Timsort+xint,0.032779,100,runs-with-exp-len-1000,72,0,198
Timsort+xint,0.032789,100,runs-with-exp-len-1000,73,0,198
Timsort+xint,0.032777,100,runs-with-exp-len-1000,74,0,198
Timsort+xint,0.033258,100,runs-with-exp-len-1000,75,0,198
Timsort+xint,0.03313,100,runs-with-exp-len-1000,76,0,198
Timsort+xint,0.03285,100,runs-with-exp-len-1000,77,0,198
Timsort+xint,0.03265,100,runs-with-exp-len-1000,78,0,198
Timsort+xint,0.033315,100,runs-with-exp-len-1000,79,0,198
Timsort+xint,0.032657,100,runs-with-exp-len-1000,80,0,198
Timsort+xint,0.033072,100,runs-with-exp-len-1000,81,0,198
Timsort+xint,0.031853,100,runs-with-exp-len-1000,82,0,198
Timsort+xint,0.031792,100,runs-with-exp-len-1000,83,0,198
Timsort+xint,0.067381,100,runs-with-exp-len-1000,84,100,298
Timsort+xint,0.032087,100,runs-with-exp-len-1000,85,0,198
Timsort+xint,0.032212,100,runs-with-exp-len-1000,86,0,198
Timsort+xint,0.031952,100,runs-with-exp-len-1000,87,0,198
Timsort+xint,0.074911,100,runs-with-exp-len-1000,88,100,312
Timsort+xint,0.034136,100,runs-with-exp-len-1000,89,0,198
Timsort+xint,0.065493,100,runs-with-exp-len-1000,90,100,287
Timsort+xint,0.032344,100,runs-with-exp-len-1000,91,0,198
Timsort+xint,0.031599,100,runs-with-exp-len-1000,92,0,198
Timsort+xint,0.031833,100,runs-with-exp-len-1000,93,0,198
Timsort+xint,0.066232,100,runs-with-exp-len-1000,94,100,297
Timsort+xint,0.067202,100,runs-with-exp-len-1000,95,100,296
Timsort+xint,0.031849,100,runs-with-exp-len-1000,96,0,198
Timsort+xint,0.031978,100,runs-with-exp-len-1000,97,0,198
Timsort+xint,0.031718,100,runs-with-exp-len-1000,98,0,198
Timsort+xint,0.031707,100,runs-with-exp-len-1000,99,0,198
Finished input type: runs-with-exp-len-1000 Average ms: 0.03690883 Fastest time (ms): 0.03066 Slowest time (ms): 0.109212
Timsort+xint,0.27996,1000,runs-with-exp-len-1000,1,0,1998
Timsort+xint,0.492314,1000,runs-with-exp-len-1000,2,1000,2546
Timsort+xint,0.645372,1000,runs-with-exp-len-1000,3,1000,2999
Timsort+xint,0.302118,1000,runs-with-exp-len-1000,4,0,1998
Timsort+xint,0.303673,1000,runs-with-exp-len-1000,5,0,1998
Timsort+xint,0.60841,1000,runs-with-exp-len-1000,6,1000,2996
Timsort+xint,0.302831,1000,runs-with-exp-len-1000,7,0,1998
Timsort+xint,0.301436,1000,runs-with-exp-len-1000,8,0,1998
Timsort+xint,0.862358,1000,runs-with-exp-len-1000,9,1896,3840
Timsort+xint,0.42546,1000,runs-with-exp-len-1000,10,1000,2138
Timsort+xint,0.603877,1000,runs-with-exp-len-1000,11,1000,2999
