algorithm,ms,n,input,input-num
Timsort,382.781167,1000000,random-permutations,1
Timsort,370.144536,1000000,random-permutations,2
Timsort,383.3715,1000000,random-permutations,3
Timsort,375.481237,1000000,random-permutations,4
Timsort,372.57212,1000000,random-permutations,5
Timsort,385.753993,1000000,random-permutations,6
Timsort,367.608608,1000000,random-permutations,7
Timsort,372.67327,1000000,random-permutations,8
Timsort,354.122201,1000000,random-permutations,9
Timsort,374.344791,1000000,random-permutations,10
Timsort,371.377182,1000000,random-permutations,11
Timsort,370.291524,1000000,random-permutations,12
Timsort,380.94703,1000000,random-permutations,13
Timsort,386.19871,1000000,random-permutations,14
Timsort,378.048977,1000000,random-permutations,15
Timsort,384.785312,1000000,random-permutations,16
Timsort,366.916739,1000000,random-permutations,17
Timsort,381.245728,1000000,random-permutations,18
Timsort,392.965287,1000000,random-permutations,19
Timsort,373.748634,1000000,random-permutations,20
Timsort,376.31395,1000000,random-permutations,21
Timsort,375.282371,1000000,random-permutations,22
Timsort,398.517059,1000000,random-permutations,23
Timsort,419.412816,1000000,random-permutations,24
Timsort,375.017067,1000000,random-permutations,25
Timsort,372.899014,1000000,random-permutations,26
Timsort,377.630287,1000000,random-permutations,27
Timsort,369.161553,1000000,random-permutations,28
Timsort,383.541103,1000000,random-permutations,29
Timsort,414.835229,1000000,random-permutations,30
Timsort,364.265517,1000000,random-permutations,31
Timsort,375.585602,1000000,random-permutations,32
Timsort,374.85229,1000000,random-permutations,33
Timsort,378.948674,1000000,random-permutations,34
Timsort,384.622307,1000000,random-permutations,35
Timsort,369.158819,1000000,random-permutations,36
Timsort,375.991678,1000000,random-permutations,37
Timsort,374.026112,1000000,random-permutations,38
Timsort,378.214505,1000000,random-permutations,39
Timsort,372.774564,1000000,random-permutations,40
Timsort,366.548661,1000000,random-permutations,41
Timsort,372.622688,1000000,random-permutations,42
Timsort,404.530115,1000000,random-permutations,43
Timsort,371.202586,1000000,random-permutations,44
Timsort,378.042702,1000000,random-permutations,45
Timsort,375.181045,1000000,random-permutations,46
Timsort,369.92982,1000000,random-permutations,47
Timsort,365.007995,1000000,random-permutations,48
Timsort,371.117108,1000000,random-permutations,49
Timsort,371.412478,1000000,random-permutations,50
Timsort,413.455931,1000000,random-permutations,51
Timsort,419.919791,1000000,random-permutations,52
Timsort,394.037977,1000000,random-permutations,53
Timsort,565.021081,1000000,random-permutations,54
Timsort,628.18465,1000000,random-permutations,55
Timsort,550.56499,1000000,random-permutations,56
Timsort,557.062332,1000000,random-permutations,57
Timsort,460.911586,1000000,random-permutations,58
Timsort,385.28123,1000000,random-permutations,59
Timsort,384.02295,1000000,random-permutations,60
Timsort,369.601631,1000000,random-permutations,61
Timsort,366.258628,1000000,random-permutations,62
Timsort,380.743355,1000000,random-permutations,63
Timsort,361.299043,1000000,random-permutations,64
Timsort,368.326586,1000000,random-permutations,65
Timsort,373.842634,1000000,random-permutations,66
Timsort,373.330005,1000000,random-permutations,67
Timsort,374.923749,1000000,random-permutations,68
Timsort,367.38323,1000000,random-permutations,69
Timsort,470.960848,1000000,random-permutations,70
Timsort,362.928096,1000000,random-permutations,71
Timsort,370.317502,1000000,random-permutations,72
Timsort,365.273591,1000000,random-permutations,73
Timsort,367.645445,1000000,random-permutations,74
Timsort,361.289124,1000000,random-permutations,75
Timsort,374.784944,1000000,random-permutations,76
Timsort,376.084478,1000000,random-permutations,77
Timsort,364.819893,1000000,random-permutations,78
Timsort,503.944462,1000000,random-permutations,79
Timsort,375.624229,1000000,random-permutations,80
Timsort,379.744215,1000000,random-permutations,81
Timsort,419.857858,1000000,random-permutations,82
Timsort,379.878963,1000000,random-permutations,83
Timsort,381.121201,1000000,random-permutations,84
Timsort,360.560577,1000000,random-permutations,85
Timsort,369.509455,1000000,random-permutations,86
Timsort,359.88649,1000000,random-permutations,87
Timsort,467.419347,1000000,random-permutations,88
Timsort,384.308789,1000000,random-permutations,89
Timsort,366.639142,1000000,random-permutations,90
Timsort,368.142811,1000000,random-permutations,91
Timsort,374.22011,1000000,random-permutations,92
Timsort,377.189514,1000000,random-permutations,93
Timsort,363.968062,1000000,random-permutations,94
Timsort,372.960382,1000000,random-permutations,95
Timsort,369.902865,1000000,random-permutations,96
Timsort,365.511289,1000000,random-permutations,97
Timsort,371.681748,1000000,random-permutations,98
Timsort,365.094703,1000000,random-permutations,99
Finished input type: random-permutations Average ms: 388.60069558000004 Fastest time (ms): 354.122201 Slowest time (ms): 628.18465
Timsort,158.282841,1000000,runs-with-exp-len-1000,1
Timsort,162.451537,1000000,runs-with-exp-len-1000,2
Timsort,160.003635,1000000,runs-with-exp-len-1000,3
Timsort,171.945882,1000000,runs-with-exp-len-1000,4
Timsort,227.781286,1000000,runs-with-exp-len-1000,5
Timsort,168.075935,1000000,runs-with-exp-len-1000,6
Timsort,160.5584,1000000,runs-with-exp-len-1000,7
Timsort,174.14389,1000000,runs-with-exp-len-1000,8
Timsort,158.565334,1000000,runs-with-exp-len-1000,9
Timsort,173.342302,1000000,runs-with-exp-len-1000,10
Timsort,169.273754,1000000,runs-with-exp-len-1000,11
Timsort,149.397658,1000000,runs-with-exp-len-1000,12
Timsort,164.658818,1000000,runs-with-exp-len-1000,13
Timsort,153.58159,1000000,runs-with-exp-len-1000,14
Timsort,156.257973,1000000,runs-with-exp-len-1000,15
Timsort,157.535735,1000000,runs-with-exp-len-1000,16
Timsort,158.748816,1000000,runs-with-exp-len-1000,17
Timsort,172.188386,1000000,runs-with-exp-len-1000,18
Timsort,158.178655,1000000,runs-with-exp-len-1000,19
Timsort,156.897305,1000000,runs-with-exp-len-1000,20
Timsort,157.235193,1000000,runs-with-exp-len-1000,21
Timsort,165.772108,1000000,runs-with-exp-len-1000,22
Timsort,161.555313,1000000,runs-with-exp-len-1000,23
Timsort,157.220234,1000000,runs-with-exp-len-1000,24
Timsort,156.954772,1000000,runs-with-exp-len-1000,25
Timsort,174.453052,1000000,runs-with-exp-len-1000,26
Timsort,160.841519,1000000,runs-with-exp-len-1000,27
Timsort,157.910682,1000000,runs-with-exp-len-1000,28
Timsort,160.242269,1000000,runs-with-exp-len-1000,29
Timsort,146.750537,1000000,runs-with-exp-len-1000,30
