algorithm,ms,n,input,input-num,merge-cost,comparison-cost
Timsort,501.986509,1000000,random-permutations,1,0,38282037
Timsort,498.66122,1000000,random-permutations,2,0,38281809
Timsort,429.520887,1000000,random-permutations,3,0,38279715
Timsort,479.537995,1000000,random-permutations,4,0,38282609
Timsort,603.186764,1000000,random-permutations,5,0,38281953
Timsort,511.126671,1000000,random-permutations,6,0,38281655
Timsort,512.186418,1000000,random-permutations,7,0,38282583
Timsort,505.432745,1000000,random-permutations,8,0,38280511
Timsort,438.191756,1000000,random-permutations,9,0,38282261
Timsort,509.075828,1000000,random-permutations,10,0,38282089
Timsort,452.831554,1000000,random-permutations,11,0,38282107
Timsort,498.876144,1000000,random-permutations,12,0,38282001
Timsort,502.432714,1000000,random-permutations,13,0,38281005
Timsort,436.764995,1000000,random-permutations,14,0,38281153
Timsort,464.819534,1000000,random-permutations,15,0,38282295
Timsort,501.054463,1000000,random-permutations,16,0,38280769
Timsort,449.895089,1000000,random-permutations,17,0,38280385
Timsort,432.628563,1000000,random-permutations,18,0,38282223
Timsort,428.521355,1000000,random-permutations,19,0,38281361
Timsort,502.866404,1000000,random-permutations,20,0,38280965
Timsort,503.708685,1000000,random-permutations,21,0,38281183
Timsort,502.582372,1000000,random-permutations,22,0,38280593
Timsort,508.738691,1000000,random-permutations,23,0,38282555
Timsort,434.035833,1000000,random-permutations,24,0,38281767
Timsort,494.084932,1000000,random-permutations,25,0,38282089
Timsort,501.945145,1000000,random-permutations,26,0,38280267
Timsort,474.3669,1000000,random-permutations,27,0,38281159
Timsort,508.354815,1000000,random-permutations,28,0,38281375
Timsort,445.847117,1000000,random-permutations,29,0,38280851
Timsort,506.002439,1000000,random-permutations,30,0,38281273
Timsort,430.400317,1000000,random-permutations,31,0,38280413
Timsort,448.980023,1000000,random-permutations,32,0,38281289
Timsort,448.667725,1000000,random-permutations,33,0,38280617
Timsort,503.713812,1000000,random-permutations,34,0,38280741
Timsort,489.107852,1000000,random-permutations,35,0,38282375
Timsort,438.180487,1000000,random-permutations,36,0,38281465
Timsort,503.375593,1000000,random-permutations,37,0,38280373
Timsort,451.307942,1000000,random-permutations,38,0,38283539
Timsort,448.565966,1000000,random-permutations,39,0,38280291
Timsort,453.61355,1000000,random-permutations,40,0,38280125
Timsort,506.957529,1000000,random-permutations,41,0,38281059
Timsort,471.232205,1000000,random-permutations,42,0,38281691
Timsort,437.586486,1000000,random-permutations,43,0,38281511
Timsort,501.382192,1000000,random-permutations,44,0,38281301
Timsort,440.052978,1000000,random-permutations,45,0,38281791
Timsort,509.331893,1000000,random-permutations,46,0,38280243
Timsort,497.957606,1000000,random-permutations,47,0,38281355
Timsort,504.809779,1000000,random-permutations,48,0,38282799
Timsort,476.053072,1000000,random-permutations,49,0,38281771
Timsort,511.212557,1000000,random-permutations,50,0,38281071
Timsort,515.669803,1000000,random-permutations,51,0,38281569
Timsort,514.702161,1000000,random-permutations,52,0,38281437
Timsort,476.56095,1000000,random-permutations,53,0,38280119
Timsort,428.055872,1000000,random-permutations,54,0,38279897
Timsort,484.671316,1000000,random-permutations,55,0,38280377
Timsort,483.397815,1000000,random-permutations,56,0,38280971
Timsort,440.411203,1000000,random-permutations,57,0,38281573
Timsort,482.652796,1000000,random-permutations,58,0,38280245
Timsort,480.395803,1000000,random-permutations,59,0,38280319
Timsort,414.056767,1000000,random-permutations,60,0,38281461
Timsort,425.590876,1000000,random-permutations,61,0,38283355
Timsort,478.053275,1000000,random-permutations,62,0,38279369
Timsort,448.698725,1000000,random-permutations,63,0,38282569
Timsort,417.802279,1000000,random-permutations,64,0,38280413
Timsort,491.565431,1000000,random-permutations,65,0,38280177
Timsort,472.629122,1000000,random-permutations,66,0,38282801
Timsort,416.426345,1000000,random-permutations,67,0,38280723
Timsort,420.405176,1000000,random-permutations,68,0,38279495
Timsort,478.647943,1000000,random-permutations,69,0,38281945
Timsort,431.553314,1000000,random-permutations,70,0,38279619
Timsort,434.309146,1000000,random-permutations,71,0,38281055
Timsort,415.899797,1000000,random-permutations,72,0,38281909
Timsort,474.57433,1000000,random-permutations,73,0,38280513
Timsort,430.60511,1000000,random-permutations,74,0,38281043
Timsort,493.350678,1000000,random-permutations,75,0,38281503
Timsort,483.330823,1000000,random-permutations,76,0,38282593
Timsort,417.30229,1000000,random-permutations,77,0,38279815
Timsort,469.864677,1000000,random-permutations,78,0,38282183
Timsort,394.317242,1000000,random-permutations,79,0,38280353
Timsort,500.955988,1000000,random-permutations,80,0,38280981
Timsort,408.872903,1000000,random-permutations,81,0,38282075
Timsort,402.351724,1000000,random-permutations,82,0,38280669
Timsort,471.421433,1000000,random-permutations,83,0,38281051
Timsort,414.122841,1000000,random-permutations,84,0,38282469
Timsort,408.545398,1000000,random-permutations,85,0,38281175
Timsort,473.171042,1000000,random-permutations,86,0,38280811
Timsort,430.903271,1000000,random-permutations,87,0,38281099
Timsort,396.311386,1000000,random-permutations,88,0,38281447
Timsort,405.99466,1000000,random-permutations,89,0,38280605
Timsort,509.32276,1000000,random-permutations,90,0,38281075
Timsort,431.561787,1000000,random-permutations,91,0,38281517
Timsort,470.321089,1000000,random-permutations,92,0,38280733
Timsort,407.894256,1000000,random-permutations,93,0,38281309
Timsort,396.882671,1000000,random-permutations,94,0,38282839
Timsort,402.819231,1000000,random-permutations,95,0,38281359
Timsort,479.582855,1000000,random-permutations,96,0,38280311
Timsort,415.327917,1000000,random-permutations,97,0,38283057
Timsort,417.12818,1000000,random-permutations,98,0,38281807
Timsort,489.678913,1000000,random-permutations,99,0,38280975
Finished input type: random-permutations Average ms: 465.55135747 Fastest time (ms): 394.317242 Slowest time (ms): 603.186764
Timsort,185.885915,1000000,runs-with-exp-len-1000,1,0,23042905
Timsort,203.412757,1000000,runs-with-exp-len-1000,2,0,22384329
Timsort,215.858441,1000000,runs-with-exp-len-1000,3,0,22877639
Timsort,206.119822,1000000,runs-with-exp-len-1000,4,0,23113831
Timsort,196.582812,1000000,runs-with-exp-len-1000,5,0,22740279
Timsort,205.330707,1000000,runs-with-exp-len-1000,6,0,23006541
Timsort,180.068545,1000000,runs-with-exp-len-1000,7,0,23048763
Timsort,217.614521,1000000,runs-with-exp-len-1000,8,0,23212269
Timsort,212.445558,1000000,runs-with-exp-len-1000,9,0,23384395
Timsort,207.573705,1000000,runs-with-exp-len-1000,10,0,22469303
Timsort,209.663433,1000000,runs-with-exp-len-1000,11,0,23336085
Timsort,178.23417,1000000,runs-with-exp-len-1000,12,0,22691211
Timsort,216.187536,1000000,runs-with-exp-len-1000,13,0,23714473
Timsort,195.295827,1000000,runs-with-exp-len-1000,14,0,22493107
Timsort,212.803523,1000000,runs-with-exp-len-1000,15,0,22555855
Timsort,205.130294,1000000,runs-with-exp-len-1000,16,0,23381181
Timsort,223.897492,1000000,runs-with-exp-len-1000,17,0,22735617
Timsort,215.078036,1000000,runs-with-exp-len-1000,18,0,22925419
